pdf_key_I_H_U_F;pdf_freq_I_H_U_F
24.0;1
30.0;2
33.0;1
34.0;1
37.0;1
39.0;2
40.0;3
41.0;1
42.0;1
43.0;3
44.0;1
46.0;4
47.0;3
48.0;1
49.0;2
50.0;3
51.0;3
52.0;2
53.0;3
54.0;1
55.0;1
56.0;8
57.0;2
58.0;2
59.0;5
60.0;2
61.0;9
62.0;6
63.0;11
64.0;7
65.0;5
66.0;7
67.0;9
68.0;10
69.0;5
70.0;7
71.0;2
72.0;7
73.0;6
74.0;7
75.0;3
76.0;4
77.0;4
78.0;8
79.0;8
81.0;4
82.0;2
84.0;2
85.0;1
86.0;1
88.0;3
89.0;1
92.0;1
