pdf_key_I_H_U_F;pdf_freq_I_H_U_F
24.0;1
30.0;2
33.0;1
34.0;1
39.0;1
40.0;3
41.0;1
42.0;1
43.0;2
46.0;4
47.0;3
48.0;1
49.0;2
50.0;2
51.0;3
53.0;3
54.0;1
55.0;1
56.0;7
57.0;2
58.0;2
59.0;4
60.0;2
61.0;8
62.0;5
63.0;10
64.0;7
65.0;5
66.0;7
67.0;8
68.0;8
69.0;4
70.0;7
71.0;2
72.0;7
73.0;6
74.0;6
75.0;3
76.0;2
77.0;4
78.0;8
79.0;7
81.0;4
82.0;2
84.0;2
85.0;1
88.0;3
89.0;1
92.0;1
