pdf_key_I_H_U;pdf_freq_I_H_U
5.0;1
10.0;1
22.0;1
27.0;1
35.0;1
46.0;1
47.0;1
48.0;1
54.0;2
56.0;1
57.0;1
58.0;2
59.0;4
60.0;2
61.0;4
63.0;1
64.0;1
66.0;2
67.0;1
68.0;1
69.0;1
70.0;3
72.0;1
75.0;1
79.0;1
80.0;1
