notification_date;window_size;mean_age_I;mean_age_I_H;mean_age_I_H_U;mean_age_I_noH_F;mean_age_I_noH_noF;mean_age_I_H_noU_F;mean_age_I_H_noU_noF;mean_age_I_H_U_F;mean_age_I_H_U_noF;lambda_ih;lambda_if;lambda_hu;lambda_hf;lambda_uf
2020-07-05;35 days;36.66980833559353;53.57499999999999;58.01219512195122;65.3;34.79978690430066;65.73809523809524;45.708888888888886;60.10344827586207;53.142857142857146;0.05551803322977172;0.00135080372821829;0.19951338199513383;0.10218978102189781;0.7073170731707317
2020-11-09;35 days;38.293391852593444;56.21461187214612;59.288;67.87096774193549;36.71578166511403;68.05696202531645;52.94327485380117;65.47368421052632;51.014925373134325;0.07823262785966666;0.001106392091081052;0.11405109489051095;0.07208029197080291;0.456
2020-11-20;35 days;38.38203501455012;56.76837037037038;59.47490347490348;66.32142857142857;36.626126370643796;68.73837209302326;53.43792808219179;65.0;52.35897435897436;0.0795157760993859;0.0009882120420695983;0.11495783399911229;0.07634265423879272;0.44015444015444016
2020-03-11;35 days;35.228157644824314;44.64705882352941;56.57142857142857;61.0;31.480476190476192;65.5;37.266666666666666;62.25;39.0;0.09686609686609686;0.002849002849002849;0.20588235294117646;0.058823529411764705;0.5714285714285714
2020-03-09;35 days;35.770392749244714;46.0;56.25;61.0;32.16463414634146;65.5;38.23076923076923;62.25;44.0;0.09667673716012085;0.0030211480362537764;0.25;0.0625;0.5
2020-07-13;35 days;37.424839311631764;54.91012799109625;57.56810897435897;66.6923076923077;35.360842503056574;66.13333333333334;49.441460055096414;60.52173913043478;52.442708333333336;0.061951471347444505;0.0013422818791946308;0.17333333333333334;0.1;0.6634615384615384
2020-03-31;35 days;32.308633093525174;39.94711538461539;44.75;61.0;28.620820668693014;68.2;29.85;78.0;33.666666666666664;0.07482014388489208;0.0014388489208633094;0.07692307692307693;0.09615384615384616;0.25
2020-03-08;35 days;35.711598746081506;47.63333333333333;61.714285714285715;61.0;32.123456790123456;65.5;39.333333333333336;60.0;61.5;0.09404388714733543;0.003134796238244514;0.23333333333333334;0.06666666666666667;0.5714285714285714
2020-03-07;35 days;35.764150943396224;48.064516129032256;61.625;61.0;32.142857142857146;65.5;39.333333333333336;60.2;61.5;0.09748427672955975;0.0031446540880503146;0.25806451612903225;0.06451612903225806;0.625
2020-03-16;35 days;35.58786008230453;45.432432432432435;55.833333333333336;61.0;31.348039215686278;74.33333333333333;36.6875;62.666666666666664;39.0;0.09135802469135802;0.0024691358024691358;0.16216216216216217;0.08108108108108109;0.5
