pdf_key_I_H_U_F;pdf_freq_I_H_U_F
24.0;1
33.0;1
40.0;3
41.0;1
43.0;1
46.0;3
47.0;1
49.0;2
50.0;2
51.0;2
53.0;1
54.0;1
56.0;5
57.0;2
58.0;1
59.0;2
60.0;2
61.0;5
62.0;4
63.0;5
64.0;6
65.0;3
66.0;3
67.0;7
68.0;5
69.0;1
70.0;5
71.0;1
72.0;6
73.0;4
74.0;1
76.0;1
77.0;3
78.0;6
79.0;3
81.0;2
82.0;1
84.0;1
88.0;1
