pdf_key_I_H_U_noF;pdf_freq_I_H_U_noF
6.0;1
12.0;1
24.0;1
26.0;3
27.0;1
28.0;3
29.0;4
30.0;1
31.0;3
32.0;2
33.0;4
34.0;4
36.0;1
37.0;3
38.0;2
39.0;3
40.0;2
41.0;1
42.0;1
43.0;2
44.0;3
45.0;2
46.0;5
47.0;5
48.0;3
49.0;2
51.0;2
52.0;5
53.0;4
54.0;4
55.0;2
56.0;4
57.0;5
58.0;10
59.0;3
60.0;6
61.0;6
62.0;5
63.0;2
64.0;4
65.0;3
66.0;4
67.0;5
68.0;5
69.0;4
72.0;1
73.0;3
74.0;1
75.0;1
76.0;1
77.0;1
78.0;3
80.0;2
81.0;2
94.0;1
