pdf_key_I_H_U_F;pdf_freq_I_H_U_F
24.0;1
33.0;1
40.0;3
41.0;1
43.0;1
46.0;3
47.0;1
49.0;2
50.0;2
51.0;1
53.0;1
56.0;4
58.0;1
59.0;2
60.0;1
61.0;3
62.0;2
63.0;3
64.0;6
65.0;2
66.0;3
67.0;6
68.0;4
70.0;5
71.0;1
72.0;4
73.0;4
76.0;1
77.0;2
78.0;4
79.0;3
81.0;2
84.0;1
88.0;1
