pdf_key_I_H_U_noF;pdf_freq_I_H_U_noF
5.0;1
46.0;1
47.0;1
54.0;2
57.0;1
58.0;1
59.0;2
60.0;1
61.0;2
66.0;1
68.0;1
69.0;1
70.0;1
75.0;1
79.0;1
80.0;1
