pdf_key_I_H_U;pdf_freq_I_H_U
8.0;1
16.0;1
24.0;3
25.0;1
26.0;4
27.0;1
28.0;2
29.0;3
30.0;3
31.0;2
33.0;4
34.0;5
35.0;1
36.0;2
37.0;5
38.0;3
39.0;6
40.0;4
41.0;1
42.0;2
43.0;3
44.0;2
45.0;3
46.0;9
47.0;8
48.0;3
49.0;3
50.0;8
51.0;7
52.0;6
53.0;10
54.0;6
55.0;4
56.0;10
57.0;11
58.0;13
59.0;6
60.0;6
61.0;16
62.0;8
63.0;13
64.0;12
65.0;9
66.0;11
67.0;12
68.0;13
69.0;7
70.0;11
71.0;3
72.0;9
73.0;8
74.0;11
75.0;5
76.0;4
77.0;6
78.0;11
79.0;10
80.0;1
81.0;4
82.0;3
84.0;3
85.0;2
86.0;1
88.0;3
89.0;1
92.0;1
