pdf_key_I_H_U_F;pdf_freq_I_H_U_F
24.0;1
30.0;2
33.0;1
34.0;1
37.0;1
39.0;2
40.0;3
41.0;1
42.0;1
43.0;3
44.0;1
46.0;5
47.0;3
48.0;1
49.0;2
50.0;5
51.0;3
52.0;2
53.0;3
54.0;1
55.0;1
56.0;11
57.0;3
58.0;2
59.0;7
60.0;5
61.0;10
62.0;7
63.0;13
64.0;10
65.0;5
66.0;7
67.0;10
68.0;14
69.0;7
70.0;7
71.0;3
72.0;8
73.0;7
74.0;8
75.0;3
76.0;4
77.0;5
78.0;11
79.0;8
81.0;4
82.0;3
83.0;1
84.0;3
85.0;2
86.0;1
88.0;3
89.0;1
92.0;1
