pdf_key_I_H_U;pdf_freq_I_H_U
6.0;1
8.0;1
12.0;1
15.0;1
16.0;1
22.0;1
24.0;4
25.0;3
26.0;4
27.0;1
28.0;3
29.0;5
30.0;3
31.0;3
32.0;2
33.0;6
34.0;7
35.0;1
36.0;4
37.0;8
38.0;3
39.0;7
40.0;6
41.0;3
42.0;3
43.0;6
44.0;4
45.0;3
46.0;13
47.0;11
48.0;5
49.0;5
50.0;11
51.0;9
52.0;13
53.0;11
54.0;6
55.0;4
56.0;16
57.0;17
58.0;15
59.0;13
60.0;13
61.0;19
62.0;15
63.0;17
64.0;18
65.0;12
66.0;15
67.0;16
68.0;23
69.0;16
70.0;12
71.0;5
72.0;11
73.0;11
74.0;14
75.0;5
76.0;7
77.0;7
78.0;16
79.0;12
80.0;2
81.0;6
82.0;4
83.0;3
84.0;4
85.0;3
86.0;3
87.0;1
88.0;3
89.0;3
92.0;1
94.0;1
