pdf_key_I_H_U;pdf_freq_I_H_U
8.0;1
12.0;1
16.0;1
24.0;3
25.0;1
26.0;4
27.0;1
28.0;3
29.0;4
30.0;3
31.0;3
33.0;5
34.0;5
35.0;1
36.0;3
37.0;7
38.0;3
39.0;7
40.0;4
41.0;2
42.0;3
43.0;4
44.0;3
45.0;3
46.0;9
47.0;8
48.0;3
49.0;4
50.0;9
51.0;8
52.0;9
53.0;11
54.0;6
55.0;4
56.0;11
57.0;12
58.0;13
59.0;7
60.0;6
61.0;18
62.0;10
63.0;14
64.0;12
65.0;11
66.0;13
67.0;13
68.0;16
69.0;9
70.0;11
71.0;3
72.0;9
73.0;8
74.0;12
75.0;5
76.0;6
77.0;6
78.0;11
79.0;11
80.0;1
81.0;5
82.0;3
83.0;1
84.0;3
85.0;2
86.0;2
88.0;3
89.0;1
92.0;1
