pdf_key_I_H_U;pdf_freq_I_H_U
8.0;1
24.0;2
25.0;1
26.0;2
27.0;1
28.0;1
29.0;2
30.0;1
31.0;1
33.0;3
34.0;4
36.0;1
37.0;1
38.0;2
39.0;4
40.0;4
41.0;1
43.0;1
44.0;1
45.0;2
46.0;8
47.0;3
49.0;3
50.0;3
51.0;5
52.0;5
53.0;5
54.0;5
56.0;7
57.0;8
58.0;9
59.0;4
60.0;2
61.0;11
62.0;5
63.0;7
64.0;8
65.0;6
66.0;6
67.0;10
68.0;10
69.0;4
70.0;7
71.0;2
72.0;8
73.0;6
74.0;5
75.0;2
76.0;3
77.0;5
78.0;8
79.0;4
81.0;2
82.0;2
84.0;1
85.0;2
88.0;1
