notification_date;window_size;mean_age_I;mean_age_I_H;mean_age_I_H_U;mean_age_I_noH_F;mean_age_I_noH_noF;mean_age_I_H_noU_F;mean_age_I_H_noU_noF;mean_age_I_H_U_F;mean_age_I_H_U_noF;lambda_ih;lambda_if;lambda_hu;lambda_hf;lambda_uf
2020-07-05;65 days;38.31681468818191;55.5714440121055;57.865207373271886;67.375;36.12581467837914;67.77460317460317;50.20063948840927;60.731981981981974;48.84195402298851;0.06417401430710365;0.001996340043254034;0.1406351263771873;0.13609850939727802;0.6820276497695853
2020-03-11;65 days;32.38207697201018;41.535714285714285;52.375;61.0;28.61174603174603;70.33333333333333;31.889705882352942;62.25;33.666666666666664;0.07347328244274809;0.0009541984732824427;0.1038961038961039;0.07792207792207792;0.5
2020-03-09;65 days;32.40021179537309;41.50974025974026;52.55555555555556;61.0;28.612091503267973;70.33333333333333;31.889705882352942;62.25;38.75;0.07526881720430108;0.0009775171065493646;0.11688311688311688;0.07792207792207792;0.4444444444444444
2020-07-13;65 days;38.57601895141567;55.67150337238196;58.03585657370518;67.96875;36.55549477967143;67.57020757020756;51.13691533451746;61.0653409090909;48.09722222222222;0.06398120403159901;0.002179242713157178;0.1335816923895689;0.145290047897818;0.701195219123506
2020-03-31;65 days;32.213157894736845;42.35019841269841;48.77777777777778;61.0;28.89331501831502;70.33333333333333;30.73989898989899;53.5;40.2;0.05894736842105263;0.0007017543859649122;0.10714285714285714;0.07142857142857142;0.2222222222222222
2020-03-08;65 days;32.465826745718054;42.0551948051948;54.2;61.0;28.61433333333333;70.33333333333333;32.03787878787879;63.6;38.75;0.07608695652173914;0.0009881422924901185;0.12987012987012986;0.07792207792207792;0.5
2020-03-07;65 days;32.53963919232042;42.29807692307692;54.81818181818182;61.0;28.682427900737757;70.33333333333333;32.03787878787879;63.166666666666664;38.75;0.07745779543197617;0.0009930486593843098;0.14102564102564102;0.07692307692307693;0.5454545454545454
2020-03-16;65 days;32.04675884626822;41.61363636363637;51.142857142857146;61.0;28.301655251141547;70.33333333333333;32.15;62.666666666666664;33.666666666666664;0.06868867082961641;0.0008920606601248885;0.09090909090909091;0.07792207792207792;0.42857142857142855
2020-03-14;65 days;32.19421036204744;41.717532467532465;52.375;61.0;28.44762784966112;70.33333333333333;32.15;62.25;33.666666666666664;0.07209737827715355;0.0009363295880149813;0.1038961038961039;0.07792207792207792;0.5
2020-03-12;65 days;32.30502995900348;41.717532467532465;52.375;61.0;28.563164477798622;70.33333333333333;32.15;62.25;33.666666666666664;0.0728476821192053;0.000946073793755913;0.1038961038961039;0.07792207792207792;0.5
2020-08-21;65 days;39.03923309655354;56.05698908117015;58.258141762452105;68.44262295081967;37.06322695935372;68.1994623655914;51.8428592859286;62.63073394495413;46.65416666666666;0.07094498367695712;0.0026730352095703427;0.10747374922791847;0.14360716491661518;0.6264367816091954
2020-03-20;65 days;31.997771067011797;42.265625;51.375;61.0;28.289701897018965;70.33333333333333;32.15;62.666666666666664;38.5;0.06902502157031924;0.0008628127696289905;0.1;0.075;0.375
2020-03-19;65 days;32.01242816091955;42.129746835443036;51.142857142857146;61.0;28.25312669929309;70.33333333333333;32.15;62.666666666666664;33.666666666666664;0.06810344827586207;0.0008620689655172414;0.08860759493670886;0.0759493670886076;0.42857142857142855
2020-09-14;65 days;38.83789768417295;55.86272465494985;58.996841593780374;69.06363636363636;36.93055472740643;68.59970612930312;51.9245027124774;64.47567567567567;49.540798611111114;0.0748840734795791;0.002452291778134475;0.1021137243227151;0.11818993748139327;0.5393586005830904
2020-10-07;65 days;38.54293409378961;55.865363661127766;58.729658792650916;68.81666666666666;36.79439303811412;68.54313099041534;52.16745730550285;64.18131868131869;51.96261682242991;0.07926368717494983;0.0012948056712488401;0.10372992104546692;0.08521644432344133;0.4776902887139108
2020-08-11;65 days;39.08152530852883;55.97971347331583;58.30092592592592;68.5040650406504;37.12978419957448;67.89546460176992;51.77378608923885;62.6875;47.01816239316239;0.06981322102179088;0.0028154184215345174;0.1121311475409836;0.1481967213114754;0.631578947368421
2020-08-31;65 days;38.94317322443335;55.77777777777778;58.54322766570605;68.63333333333334;36.96572234853018;68.34896983075791;51.59649122807018;63.41626409017713;47.555555555555564;0.07117253293025265;0.0025912329950334703;0.10527912621359223;0.13743932038834952;0.5965417867435159
2020-10-05;65 days;38.61345955386203;55.99054487179488;58.65263157894737;69.60317460317461;36.86062022005231;68.92331288343559;52.31640012543118;64.24858757062147;51.891891891891895;0.07876808616475982;0.0013625451478253346;0.1043382756727073;0.08951125755079627;0.46578947368421053
2020-03-10;65 days;32.31230006397953;41.3453947368421;52.375;61.0;28.58540471637986;70.33333333333333;31.889705882352942;62.25;33.666666666666664;0.07293666026871401;0.0009596928982725527;0.10526315789473684;0.07894736842105263;0.5
