notification_date;window_size;mean_age_I;mean_age_I_H;mean_age_I_H_U;mean_age_I_noH_F;mean_age_I_noH_noF;mean_age_I_H_noU_F;mean_age_I_H_noU_noF;mean_age_I_H_U_F;mean_age_I_H_U_noF;lambda_ih;lambda_if;lambda_hu;lambda_hf;lambda_uf
2020-07-05;55 days;38.0488165095924;55.97829780661106;58.423272357723576;68.03703703703704;35.81417287527594;68.06904761904762;50.52260981912144;61.154761904761905;52.094696969696976;0.06381847190214501;0.0015954617975536252;0.15185185185185185;0.12962962962962962;0.6829268292682927
2020-03-11;55 days;32.552332195676904;41.18560606060606;52.375;61.0;28.77858744394619;68.2;31.233870967741936;62.25;33.666666666666664;0.07508532423208192;0.0011376564277588168;0.12121212121212122;0.07575757575757576;0.5
2020-03-09;55 days;33.21781534460338;41.00396825396825;52.55555555555556;61.0;29.588753387533874;68.2;31.175;62.25;38.75;0.08192457737321196;0.0013003901170351106;0.14285714285714285;0.07936507936507936;0.4444444444444444
2020-07-13;55 days;38.35074130760787;55.93122166547363;57.94900497512438;66.53658536585365;36.081899785637724;68.1426116838488;50.581111111111106;61.01654846335696;47.867283950617285;0.06465935895657;0.0018963045187549142;0.14377682403433475;0.13876967095851217;0.7014925373134329
2020-03-31;55 days;32.20869495339119;42.160714285714285;46.4;61.0;28.73101067168864;70.33333333333333;31.146551724137932;78.0;38.5;0.06750241080038573;0.0009643201542912247;0.07142857142857142;0.08571428571428572;0.2
2020-03-08;55 days;33.32838610378188;41.44140625;54.2;61.0;29.56174558960074;68.2;31.175;63.6;38.75;0.08443271767810026;0.0013192612137203166;0.15625;0.078125;0.5
2020-03-07;55 days;33.37896286231884;41.97265625;54.81818181818182;61.0;29.537089201877933;68.2;31.31896551724138;63.166666666666664;38.75;0.08695652173913043;0.001358695652173913;0.171875;0.078125;0.5454545454545454
2020-03-16;55 days;32.30566974991436;41.545138888888886;51.142857142857146;61.0;28.534364261168385;70.33333333333333;31.9140625;62.666666666666664;33.666666666666664;0.07399794450154162;0.0010277492291880781;0.09722222222222222;0.08333333333333333;0.42857142857142855
2020-03-14;55 days;32.37399440363764;41.65625;52.375;61.0;28.54009762900976;70.33333333333333;31.233870967741936;62.25;33.666666666666664;0.07555089192025184;0.001049317943336831;0.1111111111111111;0.08333333333333333;0.5
2020-03-12;55 days;32.49323322209863;41.94402985074627;52.375;61.0;28.660412067696836;70.33333333333333;31.233870967741936;62.25;33.666666666666664;0.07452725250278086;0.0011123470522803114;0.11940298507462686;0.08955223880597014;0.5
2020-08-21;55 days;39.107145573953396;55.98606049562681;58.23072747014115;68.15517241379311;37.149089955808556;67.8438995215311;51.81799645390071;62.49242424242424;46.26960784313725;0.06958240421650111;0.0029393877964727345;0.11179898033503277;0.15222141296431171;0.6449511400651465
2020-03-20;55 days;32.03715657067196;41.1541095890411;51.142857142857146;61.0;28.27875816993464;70.33333333333333;31.889705882352942;62.666666666666664;33.666666666666664;0.07249255213505462;0.0009930486593843098;0.0958904109589041;0.0821917808219178;0.42857142857142855
2020-03-19;55 days;32.16641515761234;41.1541095890411;51.142857142857146;61.0;28.346333333333334;70.33333333333333;31.889705882352942;62.666666666666664;33.666666666666664;0.07344064386317907;0.001006036217303823;0.0958904109589041;0.0821917808219178;0.42857142857142855
2020-09-14;55 days;38.90427069876173;56.03189593727726;58.898310023310025;69.15841584158416;36.94042680354381;68.7370729455217;51.82322970639033;64.18518518518519;48.686458333333334;0.07399989458704474;0.0026616771201180625;0.10185185185185185;0.12856125356125356;0.5664335664335665
2020-10-07;55 days;38.58603955208639;55.86981966845878;59.4421768707483;69.82352941176471;36.87919568581931;68.55636363636364;51.78942232630758;64.75735294117646;53.32941176470588;0.07921977700311345;0.0013571409563852151;0.0987571380584481;0.09237487403426269;0.46258503401360546
2020-08-11;55 days;38.98989850500617;55.995444036447715;58.42224178403755;68.22018348623853;36.99679707652623;67.92137096774194;51.577029156816394;62.89153439153439;43.33484848484848;0.06721468694341691;0.0029867105082888065;0.11577660008153282;0.15165103954341622;0.6654929577464789
2020-08-31;55 days;38.98514535697236;55.76306620209059;58.45559210526316;68.60550458715596;37.06103197104857;68.12020833333332;51.74825174825175;63.3106884057971;46.66228070175438;0.07087508020334633;0.002689896846157643;0.10584958217270195;0.1392757660167131;0.6052631578947368
2020-10-05;55 days;38.68986298178168;56.04257741347905;58.86267605633803;70.29629629629629;36.937837246609305;69.00344827586207;52.10902617398;64.65040650406505;52.752808988764045;0.07866254867731973;0.0014502484221834296;0.09696142027995903;0.09900990099009901;0.43309859154929575
2020-11-03;55 days;38.407148961558306;56.36731120584652;59.33884297520661;66.57777777777778;36.71705552737724;67.98305084745763;53.12064393939393;65.15384615384616;52.838095238095235;0.0793673789689726;0.0010865628395508873;0.1104350471554609;0.07179799209005172;0.4297520661157025
2020-03-10;55 days;33.13279301745636;40.75390625;52.375;61.0;29.434415584415586;68.2;31.233870967741936;62.25;33.666666666666664;0.0798004987531172;0.0012468827930174563;0.125;0.078125;0.5
2020-03-15;55 days;32.34201926384589;41.545138888888886;51.142857142857146;61.0;28.550138312586444;70.33333333333333;31.9140625;62.666666666666664;33.666666666666664;0.07430340557275542;0.0010319917440660474;0.09722222222222222;0.08333333333333333;0.42857142857142855
2020-09-09;55 days;38.98929571055705;55.94844782813975;58.67411225658649;69.08823529411765;37.02863292611984;68.50542534722223;51.86343537414965;63.71274509803922;48.3375;0.07275442164611384;0.0026259557706665294;0.1029723991507431;0.13588110403397027;0.584192439862543
2020-08-19;55 days;39.12607385562251;56.15043168168166;58.600788288288285;68.3135593220339;37.148636189012684;68.26026570048309;51.9027177825774;62.64720812182741;45.634408602150536;0.06830643095055086;0.0030233153984114782;0.1110277569392348;0.15528882220555137;0.6655405405405406
2020-09-02;55 days;38.99670905011219;55.77888850254984;58.506644518272424;68.72566371681415;37.062565991828485;68.14779474130619;51.68028052805281;63.57635009310987;47.28632478632478;0.0717115590661052;0.002815638003637904;0.10458651841556636;0.1365531619179986;0.5946843853820598
2020-03-13;55 days;32.38586765223513;41.87676056338028;52.375;61.0;28.506680731364273;70.33333333333333;31.233870967741936;62.25;33.666666666666664;0.07497360084477296;0.0010559662090813093;0.11267605633802817;0.08450704225352113;0.5
2020-03-18;55 days;32.23673089925626;41.35069444444444;51.142857142857146;61.0;28.399524779361844;70.33333333333333;32.03787878787879;62.666666666666664;33.666666666666664;0.07302231237322515;0.0010141987829614604;0.09722222222222222;0.08333333333333333;0.42857142857142855
