pdf_key_I_H_U_noF;pdf_freq_I_H_U_noF
26.0;2
27.0;1
28.0;2
29.0;1
30.0;1
31.0;1
33.0;2
34.0;3
36.0;1
37.0;2
38.0;2
39.0;2
42.0;1
44.0;2
45.0;2
46.0;3
47.0;2
49.0;1
51.0;2
52.0;2
53.0;4
54.0;4
56.0;2
57.0;4
58.0;6
59.0;1
60.0;2
61.0;5
62.0;1
64.0;3
65.0;2
66.0;2
67.0;3
68.0;1
69.0;2
73.0;2
75.0;1
76.0;1
77.0;1
78.0;2
