pdf_key_I_H_U;pdf_freq_I_H_U
8.0;1
16.0;1
24.0;3
25.0;1
26.0;2
27.0;1
28.0;1
29.0;2
30.0;1
31.0;1
33.0;4
34.0;4
36.0;1
37.0;3
38.0;2
39.0;4
40.0;4
41.0;1
42.0;2
43.0;1
44.0;1
45.0;3
46.0;8
47.0;4
49.0;3
50.0;7
51.0;6
52.0;5
53.0;8
54.0;6
55.0;1
56.0;7
57.0;8
58.0;10
59.0;4
60.0;3
61.0;13
62.0;5
63.0;7
64.0;10
65.0;6
66.0;9
67.0;11
68.0;10
69.0;6
70.0;9
71.0;3
72.0;9
73.0;6
74.0;6
75.0;2
76.0;3
77.0;5
78.0;9
79.0;5
81.0;2
82.0;2
84.0;1
85.0;2
88.0;1
