notification_date;window_size;mean_age_I;mean_age_I_H;mean_age_I_H_U;mean_age_I_noH_F;mean_age_I_noH_noF;mean_age_I_H_noU_F;mean_age_I_H_noU_noF;mean_age_I_H_U_F;mean_age_I_H_U_noF;lambda_ih;lambda_if;lambda_hu;lambda_hf;lambda_uf
2020-07-05;30 days;36.38396081217072;52.5725;58.142857142857146;64.5;34.37439555125725;62.30769230769231;45.02287581699347;60.11363636363637;51.2;0.053144375553587246;0.00141718334809566;0.21;0.08666666666666667;0.6984126984126984
2020-11-09;30 days;38.298555093555095;56.01569349465193;58.85648148148148;66.95833333333333;36.72244849065645;67.71544715447155;53.09538152610442;64.94845360824742;50.8421052631579;0.07899215474658586;0.0009962226557635632;0.11350499211770888;0.06463478717813978;0.44907407407407407
2020-11-20;30 days;38.37414536762546;56.859764309764316;59.22707423580786;66.96;36.713767234387674;68.53896103896103;53.47602960102961;65.42857142857143;51.594202898550726;0.0792863429074326;0.001000080006400512;0.11553985872855702;0.07769929364278506;0.4585152838427948
2020-03-11;30 days;35.586092715231786;47.44;61.8;61.0;32.15094339622642;65.0;38.09090909090909;57.0;69.0;0.08278145695364239;0.0033112582781456954;0.2;0.04;0.6
2020-03-09;30 days;35.357142857142854;47.68;60.5;61.0;31.50657894736842;65.0;37.1;57.0;61.5;0.08928571428571429;0.0035714285714285713;0.24;0.04;0.5
2020-07-13;30 days;37.18806736234835;54.763582966226124;57.86610486891385;64.77777777777777;35.170237643787125;65.3695652173913;49.05434782608695;60.87096774193548;51.643939393939384;0.05765331981753675;0.0011403953370501775;0.1956043956043956;0.1010989010989011;0.6966292134831461
2020-03-31;30 days;33.682993197278904;41.75609756097561;44.75;61.0;30.05079365079365;68.2;32.10526315789474;78.0;33.666666666666664;0.0836734693877551;0.0020408163265306124;0.0975609756097561;0.12195121951219512;0.25
2020-03-08;30 days;35.09090909090909;48.5;61.714285714285715;61.0;31.304635761589402;65.0;37.1;60.0;61.5;0.09454545454545454;0.0036363636363636364;0.2692307692307692;0.038461538461538464;0.5714285714285714
2020-03-07;30 days;35.32342007434944;49.69230769230769;61.625;61.0;31.389261744966444;65.0;37.888888888888886;60.2;61.5;0.09665427509293681;0.0037174721189591076;0.3076923076923077;0.038461538461538464;0.625
2020-03-16;30 days;34.84048323471401;44.6875;55.833333333333336;61.0;31.129142300194935;65.5;37.266666666666666;62.666666666666664;39.0;0.09467455621301775;0.0029585798816568047;0.1875;0.0625;0.5
2020-03-14;30 days;35.6625;46.36666666666667;56.57142857142857;61.0;31.80625;65.5;38.23076923076923;62.25;39.0;0.09375;0.003125;0.23333333333333334;0.06666666666666667;0.5714285714285714
2020-03-12;30 days;35.469055374592834;47.370370370370374;61.8;61.0;31.849056603773583;65.5;39.333333333333336;57.0;69.0;0.08794788273615635;0.003257328990228013;0.18518518518518517;0.07407407407407407;0.6
2020-08-21;30 days;39.1084271762622;55.941598105210666;58.811147186147195;68.10909090909091;37.21623828647925;67.90560471976401;51.336827393431165;61.99561403508772;45.16269841269842;0.06512103648141834;0.0026788758462812333;0.11518324607329843;0.16903515332834704;0.7402597402597403
2020-12-01;30 days;38.58261166818596;56.48940972222223;58.783185840707965;63.0;36.6909211398277;68.28472222222223;53.241935483870975;64.375;52.816901408450704;0.07948580167817137;0.0010333567560864712;0.11752470098803952;0.0748829953198128;0.4247787610619469
2020-03-20;30 days;35.33995433789954;45.45454545454545;55.833333333333336;61.0;31.074337121212125;74.33333333333333;36.6875;62.666666666666664;39.0;0.09041095890410959;0.0027397260273972603;0.18181818181818182;0.09090909090909091;0.5
2020-03-19;30 days;35.31170309653916;45.45454545454545;55.833333333333336;61.0;30.92660984848485;74.33333333333333;36.6875;62.666666666666664;39.0;0.09016393442622951;0.00273224043715847;0.18181818181818182;0.09090909090909091;0.5
2020-09-14;30 days;39.121876701338145;56.235131605384765;58.77731481481482;68.46753246753246;37.21051410003481;68.31310013717422;52.546776050662054;64.13888888888889;46.38605442176871;0.07136105860113422;0.0033081285444234404;0.10836845273931367;0.14629741119807346;0.6
2020-10-07;30 days;38.9050347133812;55.90058572949947;58.61073825503356;70.44117647058823;36.90255106591741;69.56497175141243;51.318647540983605;63.11842105263158;53.53191489361702;0.07966809203828142;0.0017308083893300753;0.09520766773162939;0.11309904153354633;0.5100671140939598
2020-08-11;30 days;39.03026843394966;55.95599173553719;57.972972972972975;67.74418604651163;36.90827647991179;68.14338919925513;50.94555555555555;61.57500000000001;46.854166666666664;0.0672782874617737;0.0023908812899638586;0.12231404958677686;0.14793388429752066;0.6756756756756757
2020-08-31;30 days;38.88544645016287;55.38126649076517;58.13905325443787;67.41095890410959;37.0691437007874;67.17189679218968;51.62784588441331;63.14672364672364;38.979797979797986;0.0647196759752718;0.0031123427840545727;0.11133069828722003;0.15744400527009222;0.6923076923076923
2020-10-05;30 days;39.0250231274986;56.1282375236892;58.053691275167786;71.15151515151516;36.9958577315116;69.8586387434555;51.96161417322835;63.098591549295776;52.84;0.07842457270250186;0.0016348773841961854;0.09412507896399241;0.12065698041692988;0.47651006711409394
2020-11-03;30 days;38.13361959430168;55.769930675909876;59.65079365079365;67.84;36.657993436474456;67.14285714285714;51.797407407407405;65.44827586206897;53.0;0.07758080401110216;0.0011191691288387502;0.1090594345066359;0.06866705135603;0.4603174603174603
