notification_date;window_size;lambda_ih;lambda_if;lambda_hu;lambda_hf;lambda_uf
2020-03-17;45 days 00:00:00.000000000;0.07817109144542773;0.014749262536873156;0.1509433962264151;0.1509433962264151;0.375
2020-07-05;45 days 00:00:00.000000000;0.06125143008008448;0.025081404558655283;0.16235632183908047;0.33620689655172414;0.6902654867256637
2020-11-13;45 days 00:00:00.000000000;0.07211840676610091;0.009200525744328248;0.08716323296354993;0.10301109350237718;0.23636363636363636
2020-03-16;45 days 00:00:00.000000000;0.0752;0.016;0.1702127659574468;0.1702127659574468;0.375
2020-03-18;45 days 00:00:00.000000000;0.07747489239598278;0.014347202295552367;0.14814814814814814;0.14814814814814814;0.375
2020-03-11;45 days 00:00:00.000000000;0.08726415094339622;0.02122641509433962;0.21621621621621623;0.1891891891891892;0.5
2020-03-15;45 days 00:00:00.000000000;0.07260726072607261;0.01485148514851485;0.18181818181818182;0.1590909090909091;0.375
2020-03-09;45 days 00:00:00.000000000;0.08872901678657075;0.02158273381294964;0.24324324324324326;0.1891891891891892;0.4444444444444444
2020-03-14;45 days 00:00:00.000000000;0.08102345415778252;0.021321961620469083;0.21052631578947367;0.21052631578947367;0.5
2020-10-08;45 days 00:00:00.000000000;0.08156516946817305;0.019047947092863046;0.0929054054054054;0.18454391891891891;0.42272727272727273
2020-11-09;45 days 00:00:00.000000000;0.07356786894952386;0.010016282626930478;0.0892018779342723;0.10865191146881288;0.24812030075187969
2020-07-27;45 days 00:00:00.000000000;0.06601042269832079;0.029976393033717876;0.13427800269905532;0.3340080971659919;0.6834170854271356
2020-03-13;45 days 00:00:00.000000000;0.08486238532110092;0.020642201834862386;0.21621621621621623;0.1891891891891892;0.5
2020-03-10;45 days 00:00:00.000000000;0.08788598574821853;0.021377672209026127;0.21621621621621623;0.1891891891891892;0.5
2020-08-04;45 days 00:00:00.000000000;0.06586214723462208;0.02962094272527805;0.1183228029867892;0.3296955772544515;0.6941747572815534
2020-09-25;45 days 00:00:00.000000000;0.07884525322807252;0.02448651903391985;0.10224862112855325;0.23419601187950784;0.5145228215767634
2020-03-07;45 days 00:00:00.000000000;0.09;0.0275;0.3055555555555556;0.25;0.5454545454545454
2020-08-21;45 days 00:00:00.000000000;0.06704778475113403;0.029609146834027218;0.11584800741427248;0.30954587581093607;0.676
2020-03-12;45 days 00:00:00.000000000;0.08450704225352113;0.02112676056338028;0.2222222222222222;0.19444444444444445;0.5
2020-03-19;45 days 00:00:00.000000000;0.07637906647807638;0.014144271570014143;0.14814814814814814;0.14814814814814814;0.375
2020-10-01;45 days 00:00:00.000000000;0.07923252122299676;0.021740630823383258;0.09843205574912892;0.21210801393728224;0.4690265486725664
2020-03-08;45 days 00:00:00.000000000;0.08759124087591241;0.024330900243309004;0.2777777777777778;0.2222222222222222;0.5
2020-07-13;45 days 00:00:00.000000000;0.06392016721731508;0.02906075112939114;0.1550632911392405;0.350210970464135;0.6938775510204082
2020-06-15;45 days 00:00:00.000000000;0.0472027972027972;0.01730769230769231;0.2;0.3037037037037037;0.7777777777777778
2020-10-31;45 days 00:00:00.000000000;0.07347996921456637;0.011504030461376434;0.09040793825799338;0.12513781697905182;0.31097560975609756
2020-09-08;45 days 00:00:00.000000000;0.07259674104084125;0.0261550835592362;0.10381616741895773;0.26179729175215427;0.5810276679841897
2020-03-31;45 days 00:00:00.000000000;0.0703883495145631;0.012135922330097087;0.06896551724137931;0.13793103448275862;0.25
2020-10-09;45 days 00:00:00.000000000;0.08200634227844648;0.018754049169707097;0.09272349272349273;0.18295218295218296;0.4170403587443946
2020-10-12;45 days 00:00:00.000000000;0.08181787958376276;0.01758702084510788;0.08980089394555059;0.17310036570499795;0.3891402714932127
2020-11-16;45 days 00:00:00.000000000;0.07201955622414441;0.008837908988341482;0.08790252393385553;0.09747606614447346;0.22772277227722773
2020-10-26;45 days 00:00:00.000000000;0.07415360389377998;0.013170138143296829;0.0916988416988417;0.14092664092664092;0.33157894736842103
2020-07-03;45 days 00:00:00.000000000;0.06135205308202712;0.02481007789210501;0.16614420062695925;0.3338557993730408;0.6886792452830188
2020-09-18;45 days 00:00:00.000000000;0.0761779516951599;0.025692016550662347;0.1031578947368421;0.24926315789473685;0.5265306122448979
2020-03-20;45 days 00:00:00.000000000;0.07639836289222374;0.013642564802182811;0.14285714285714285;0.14285714285714285;0.375
2020-07-24;45 days 00:00:00.000000000;0.06685401567815412;0.03022235369521274;0.13569321533923304;0.33849557522123896;0.6847826086956522
2020-11-08;45 days 00:00:00.000000000;0.07351940095302927;0.010065156082855197;0.08796296296296297;0.10912698412698413;0.24812030075187969
2020-08-28;45 days 00:00:00.000000000;0.06821918627245822;0.028220382051358704;0.10999123575810692;0.29491673970201576;0.6374501992031872
2020-10-28;45 days 00:00:00.000000000;0.07384545899356393;0.012307576498927322;0.09276248725790011;0.13302752293577982;0.3241758241758242
2020-08-13;45 days 00:00:00.000000000;0.06606421578695146;0.02943794071335661;0.10932642487046632;0.31917098445595854;0.6872037914691943
2020-08-29;45 days 00:00:00.000000000;0.06883376615623414;0.028088713769738215;0.10928013876843018;0.28924544666088464;0.6349206349206349
2020-07-23;45 days 00:00:00.000000000;0.06672774469384639;0.030488115233877944;0.13577421815408086;0.34248665141113654;0.6910112359550562
2020-08-19;45 days 00:00:00.000000000;0.06686110327092545;0.029635901778154106;0.11585365853658537;0.3128517823639775;0.6882591093117408
2020-09-14;45 days 00:00:00.000000000;0.07545845665639399;0.026119061422512434;0.10149615851192884;0.2547513141932875;0.545816733067729
2020-10-07;45 days 00:00:00.000000000;0.08133678192213449;0.01939831200653417;0.09246861924686192;0.18870292887029289;0.42081447963800905
2020-08-11;45 days 00:00:00.000000000;0.06611797926925858;0.029339853300733496;0.1109375;0.3177083333333333;0.6713615023474179
2020-09-05;45 days 00:00:00.000000000;0.07269001265746489;0.027002591766620457;0.10572139303482588;0.269485903814262;0.5803921568627451
2020-10-20;45 days 00:00:00.000000000;0.07421072895277207;0.01376411704312115;0.09122351923908344;0.14785992217898833;0.35071090047393366
2020-08-31;45 days 00:00:00.000000000;0.07000525915970315;0.027581370887629287;0.11018363939899833;0.28213689482470783;0.6098484848484849
2020-10-05;45 days 00:00:00.000000000;0.08011189376832598;0.019985844764247918;0.09507782919646614;0.19604543542280184;0.4247787610619469
2020-10-17;45 days 00:00:00.000000000;0.07654255845397882;0.015301916037331399;0.0913399396811719;0.16070659198621284;0.37264150943396224
2020-09-07;45 days 00:00:00.000000000;0.07230664415415149;0.026304096685328356;0.10446538303973782;0.26464563703400246;0.5843137254901961
2020-08-03;45 days 00:00:00.000000000;0.06549398329117805;0.02943205334559669;0.1211234640140433;0.33001755412521944;0.7004830917874396
2020-11-03;45 days 00:00:00.000000000;0.07373193054486357;0.01107689675819006;0.08990719257540604;0.12006960556844548;0.2967741935483871
2020-03-23;45 days 00:00:00.000000000;0.07682619647355164;0.013853904282115869;0.09836065573770492;0.14754098360655737;0.3333333333333333
2020-10-22;45 days 00:00:00.000000000;0.07441938178780284;0.013467000835421888;0.08756174225415357;0.143242029636282;0.3333333333333333
2020-06-04;45 days 00:00:00.000000000;0.04104998603741972;0.017034347947500698;0.22448979591836735;0.3197278911564626;0.7878787878787878
