notification_date;window_size;lambda_ih;lambda_if;lambda_hu;lambda_hf;lambda_uf
2020-03-17;75 days 00:00:00.000000000;0.05946337926033358;0.009427121102248005;0.14634146341463414;0.13414634146341464;0.3333333333333333
2020-07-05;75 days 00:00:00.000000000;0.06371524479067706;0.027930837925137755;0.12972166998011928;0.3265407554671968;0.7049808429118773
2020-03-16;75 days 00:00:00.000000000;0.060249816311535635;0.009551800146950772;0.14634146341463414;0.13414634146341464;0.3333333333333333
2020-03-18;75 days 00:00:00.000000000;0.05915894511760513;0.009265858873841768;0.14457831325301204;0.13253012048192772;0.3333333333333333
2020-03-11;75 days 00:00:00.000000000;0.06523605150214593;0.011158798283261802;0.13157894736842105;0.14473684210526316;0.4
2020-03-15;75 days 00:00:00.000000000;0.06431372549019608;0.01019607843137255;0.14634146341463414;0.13414634146341464;0.3333333333333333
2020-03-09;75 days 00:00:00.000000000;0.06696035242290749;0.01145374449339207;0.13157894736842105;0.14473684210526316;0.4
2020-03-14;75 days 00:00:00.000000000;0.06485188150520416;0.01120896717373899;0.16049382716049382;0.14814814814814814;0.38461538461538464
2020-10-08;75 days 00:00:00.000000000;0.07742732521493584;0.015858608778962762;0.09117551286225985;0.16281341582546402;0.37857142857142856
2020-07-27;75 days 00:00:00.000000000;0.06719234398166869;0.0289122523251112;0.12203276496155133;0.31126713473754597;0.6520547945205479
2020-03-13;75 days 00:00:00.000000000;0.06493506493506493;0.011363636363636364;0.1625;0.15;0.38461538461538464
2020-03-10;75 days 00:00:00.000000000;0.06672519754170325;0.01141352063213345;0.13157894736842105;0.14473684210526316;0.4
2020-08-04;75 days 00:00:00.000000000;0.07074237635781411;0.02865275539462944;0.11420118343195267;0.2949704142011834;0.6243523316062176
2020-09-25;75 days 00:00:00.000000000;0.07648925633199248;0.01863718137898971;0.09725158562367865;0.1863107822410148;0.41847826086956524
2020-03-07;75 days 00:00:00.000000000;0.07012750455373407;0.01366120218579235;0.15584415584415584;0.16883116883116883;0.5
2020-08-21;75 days 00:00:00.000000000;0.07191379714218786;0.026938393066291873;0.10667752442996743;0.2733441910966341;0.6030534351145038
2020-03-12;75 days 00:00:00.000000000;0.06361323155216285;0.01102629346904156;0.13333333333333333;0.14666666666666667;0.4
2020-03-19;75 days 00:00:00.000000000;0.05878236529041288;0.009097270818754374;0.14285714285714285;0.13095238095238096;0.3333333333333333
2020-10-01;75 days 00:00:00.000000000;0.07665939545029604;0.017161554556381606;0.09494773519163763;0.17392566782810684;0.3944954128440367
2020-03-08;75 days 00:00:00.000000000;0.06943192064923355;0.012623985572587917;0.14285714285714285;0.15584415584415584;0.45454545454545453
2020-07-13;75 days 00:00:00.000000000;0.06400699052456241;0.028180552142213485;0.125;0.3242320819112628;0.6962457337883959
2020-06-15;75 days 00:00:00.000000000;0.061174148988653185;0.027298141753001152;0.15412186379928317;0.34408602150537637;0.7093023255813954
2020-09-08;75 days 00:00:00.000000000;0.07498886974700451;0.022957356613305977;0.09989674754775425;0.22715539494062983;0.5116279069767442
2020-03-31;75 days 00:00:00.000000000;0.05191740412979351;0.011799410029498525;0.14772727272727273;0.17045454545454544;0.38461538461538464
2020-10-09;75 days 00:00:00.000000000;0.07765068757229147;0.01570492224649788;0.0913604766633565;0.16153591525984773;0.3695652173913043
2020-10-12;75 days 00:00:00.000000000;0.07762250891827374;0.01528846927554113;0.08984105044920525;0.15894955079474776;0.36538461538461536
2020-07-03;75 days 00:00:00.000000000;0.06392054922348864;0.027927747783776578;0.1329509906152242;0.32742440041710114;0.7019607843137254
2020-09-18;75 days 00:00:00.000000000;0.07579015470096855;0.020113028751926627;0.09791614361034397;0.19984935977906101;0.4461538461538462
2020-03-20;75 days 00:00:00.000000000;0.057931034482758624;0.00896551724137931;0.14285714285714285;0.13095238095238096;0.3333333333333333
2020-07-24;75 days 00:00:00.000000000;0.06669463087248322;0.029036167039522744;0.12264150943396226;0.31516422082459816;0.6581196581196581
2020-08-28;75 days 00:00:00.000000000;0.07281496978149697;0.025414535874786922;0.10242085661080075;0.25724926842245277;0.5818181818181818
2020-08-13;75 days 00:00:00.000000000;0.07188619180262634;0.027855153203342618;0.10655964572377526;0.28203708829227786;0.6051948051948052
2020-08-29;75 days 00:00:00.000000000;0.07303087830769826;0.025183061485413195;0.10371352785145889;0.253315649867374;0.5703324808184144
2020-07-23;75 days 00:00:00.000000000;0.06649042887152737;0.028937616541175916;0.12318068867589635;0.31487397941072065;0.6628242074927954
2020-08-19;75 days 00:00:00.000000000;0.07203083123031477;0.027231645049592114;0.10727865290602934;0.2748506246605106;0.6
2020-09-14;75 days 00:00:00.000000000;0.07618974984746797;0.021430750457596095;0.0970970970970971;0.21096096096096095;0.47680412371134023
2020-10-07;75 days 00:00:00.000000000;0.07725014214026153;0.016092749610659283;0.09088;0.16544;0.3767605633802817
2020-08-11;75 days 00:00:00.000000000;0.07175222023078318;0.027851058259661277;0.10833567218635981;0.28206567499298346;0.6036269430051814
2020-09-05;75 days 00:00:00.000000000;0.07466547378248016;0.023650225610704838;0.10184943995832248;0.23521750455847876;0.5242966751918159
2020-08-31;75 days 00:00:00.000000000;0.07294926186865293;0.02464917164193431;0.10342105263157894;0.25;0.5597964376590331
2020-10-05;75 days 00:00:00.000000000;0.07677929206890025;0.016396933560477;0.09183359013867488;0.1682588597842835;0.3691275167785235
2020-10-17;75 days 00:00:00.000000000;0.0747554168417262;0.014194826240921913;0.09112806101967082;0.1521477318346046;0.3568281938325991
