notification_date;window_size;lambda_ih;lambda_if;lambda_hu;lambda_hf;lambda_uf
2020-03-17;70 days 00:00:00.000000000;0.06341045415595545;0.010282776349614395;0.12162162162162163;0.13513513513513514;0.3333333333333333
2020-07-05;70 days 00:00:00.000000000;0.063767479317666;0.02822314957171096;0.13662456946039037;0.3312284730195178;0.6974789915966386
2020-03-16;70 days 00:00:00.000000000;0.06429192006950478;0.010425716768027803;0.12162162162162163;0.13513513513513514;0.3333333333333333
2020-03-18;70 days 00:00:00.000000000;0.06486042692939245;0.010673234811165846;0.1518987341772152;0.13924050632911392;0.3333333333333333
2020-03-11;70 days 00:00:00.000000000;0.06728110599078341;0.011981566820276499;0.1232876712328767;0.1506849315068493;0.4444444444444444
2020-03-15;70 days 00:00:00.000000000;0.06571936056838366;0.010657193605683837;0.12162162162162163;0.13513513513513514;0.3333333333333333
2020-03-09;70 days 00:00:00.000000000;0.07080504364694472;0.012609117361784675;0.136986301369863;0.1506849315068493;0.4
2020-03-14;70 days 00:00:00.000000000;0.06583629893238434;0.011565836298932384;0.12162162162162163;0.14864864864864866;0.4444444444444444
2020-10-08;70 days 00:00:00.000000000;0.07742732521493584;0.015858608778962762;0.09117551286225985;0.16281341582546402;0.37857142857142856
2020-07-27;70 days 00:00:00.000000000;0.06681982598494476;0.029206178512073515;0.12253108997805413;0.31602048280907097;0.6686567164179105
2020-03-13;70 days 00:00:00.000000000;0.06733393994540492;0.011828935395814377;0.12162162162162163;0.14864864864864866;0.4444444444444444
2020-03-10;70 days 00:00:00.000000000;0.06844106463878327;0.012357414448669201;0.125;0.1527777777777778;0.4444444444444444
2020-08-04;70 days 00:00:00.000000000;0.0687954076598798;0.029150596466050768;0.11538461538461539;0.3060625814863103;0.6412429378531074
2020-09-25;70 days 00:00:00.000000000;0.07639908631098058;0.018763256648719202;0.09690336358782702;0.18766684463427658;0.42424242424242425
2020-03-07;70 days 00:00:00.000000000;0.07338551859099804;0.014677103718199608;0.16;0.17333333333333334;0.5
2020-08-21;70 days 00:00:00.000000000;0.07220090687129403;0.02745234822216295;0.10713270815572606;0.27593066211992046;0.6021220159151194
2020-03-12;70 days 00:00:00.000000000;0.06709558823529412;0.011948529411764705;0.1232876712328767;0.1506849315068493;0.4444444444444444
2020-03-19;70 days 00:00:00.000000000;0.06477732793522267;0.010526315789473684;0.15;0.1375;0.3333333333333333
2020-10-01;70 days 00:00:00.000000000;0.07665939545029604;0.017161554556381606;0.09494773519163763;0.17392566782810684;0.3944954128440367
2020-03-08;70 days 00:00:00.000000000;0.07233626588465299;0.013685239491691105;0.14864864864864866;0.16216216216216217;0.45454545454545453
2020-07-13;70 days 00:00:00.000000000;0.06369387629752472;0.02849947791904674;0.13066538090646093;0.3322082931533269;0.7047970479704797
2020-06-15;70 days 00:00:00.000000000;0.060019874130506794;0.025902616760516726;0.16335540838852097;0.34216335540838855;0.722972972972973
2020-09-08;70 days 00:00:00.000000000;0.07449064449064449;0.023825363825363825;0.10159084566006141;0.2372313703600335;0.532967032967033
2020-03-31;70 days 00:00:00.000000000;0.05222929936305733;0.01019108280254777;0.13414634146341464;0.15853658536585366;0.36363636363636365
2020-10-09;70 days 00:00:00.000000000;0.07763097013007043;0.01570613336075266;0.0913907284768212;0.16158940397350993;0.3695652173913043
2020-10-12;70 days 00:00:00.000000000;0.07760193133047211;0.01528969957081545;0.08987210508123056;0.15900449360525407;0.36538461538461536
2020-07-03;70 days 00:00:00.000000000;0.06314602518323624;0.028302950573200526;0.13988095238095238;0.33630952380952384;0.6978723404255319
2020-09-18;70 days 00:00:00.000000000;0.0770042194092827;0.02130388020186978;0.09803921568627451;0.20789685737308622;0.4602739726027397
2020-03-20;70 days 00:00:00.000000000;0.06523468575974542;0.010342084327764518;0.14634146341463414;0.13414634146341464;0.3333333333333333
