"date","ndate","beta","beta_lo","beta_hi","lamih","lamih_lo","lamih_hi","lamif","lamif_lo","lamif_hi","lamhu","lamhu_lo","lamhu_hi","lamhf","lamhf_lo","lamhf_hi","lamuf","lamuf_lo","lamuf_hi","S","E","I","R","H","U","F","O","dailyR","dailyF","R_sin_subRegistro","dailyR_sin_subRegistro","seed","numero_reproductivo","adapt_delta_SEIR","S_porciento","I_porciento","O_porciento"
2020-03-06,0,0.470934041551237,0.0489571661703766,0.724479131526118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7251396.69055535,609.133947392933,666.144707261691,0,NA,NA,NA,0,0,NA,0,NA,911228464,3.29595864173976,0.85,0.999824164299713,0.000175835700286544,0
2020-03-07,1,0.435244277473744,0.0270766736445289,0.653533241010027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7251056.20364509,727.573775731261,785.079226598372,103.391387780839,NA,NA,NA,103.112562576517,103.391387780839,NA,0.012633688636259,0.012633688636259,2044430956,3.04603118984651,0.85,0.999777217889935,0.000175835700286544,1.42171827175232e-05
2020-03-08,2,0.373619737645823,0.0167781623750717,0.595485533079721,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7250685.97608388,838.35922497751,923.578486903643,225.234196570793,NA,NA,NA,224.055414235011,121.842808789954,NA,0.0424066914062513,0.0297730027699923,1147636283,2.61462200764921,0.85,0.999726170832688,0.000208564927346962,3.08928095998551e-05
2020-03-09,3,0.360137228654825,0.018254458402066,0.571367034886758,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7250314.88590448,918.986981009561,1073.11300224728,367.788807510763,NA,NA,NA,364.983322262457,142.55461093997,NA,0.0960619972421393,0.053655305835888,1235322529,2.52014130058362,0.85,0.999675004837455,0.000242936357712187,5.03239804325816e-05
2020-03-10,4,0.374962621059974,0.115692673608581,0.470719035789378,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7249903.06592545,1012.12517274214,1229.86707129123,532.184071419471,NA,NA,NA,526.911040515639,164.395263908708,NA,0.230665835152646,0.134603837910507,26376687,2.62373628271014,0.85,0.999618223008526,0.000274671182112463,7.26506096997839e-05
2020-03-11,5,0.360791920454468,0.122783723124707,0.45105049031861,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7249414.04171557,1145.51818858146,1401.22891274563,719.881713263675,NA,NA,NA,711.180393103246,187.697641844204,NA,0.366677917672494,0.136012082519848,1286949924,2.52440895957898,0.85,0.999550796243335,0.000309126381773694,9.80577084035295e-05
2020-03-12,6,0.386218277721103,0.284179431894734,0.4473544216586,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7248879.49964061,1280.83722185704,1591.42393016391,933.429350602089,NA,NA,NA,920.208417375864,213.547637338414,NA,0.501069581008199,0.134391663335705,892640182,2.70211425161804,0.85,0.999477093464933,0.000351146048261782,0.000126878538183232
2020-03-13,7,0.336207659234694,0.208679534612737,0.405408454906402,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7248230.25311065,1476.74931479768,1808.09975813867,1175.84390212064,NA,NA,NA,1156.86702641603,242.414551518547,NA,0.896605512062109,0.395535931053909,1723401363,2.35201230130984,0.85,0.999387575211149,0.000396027996883721,0.000159509079043877
2020-03-14,8,0.302665646805746,0.158065024427751,0.372474823864349,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7247590.16595506,1610.44341697459,2046.44999393497,1451.04326521818,NA,NA,NA,1424.90984403465,275.199363097545,NA,1.29705685859994,0.400451346537833,1699610254,2.11717502497288,0.85,0.999299319853908,0.000452915709807589,0.000196466881458843
2020-03-15,9,0.274223022348333,0.122513377139169,0.348478967216544,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7246943.19618225,1713.28167517861,2289.59630786475,1760.76541105817,NA,NA,NA,1725.89504471337,309.722145839991,NA,2.2241291829563,0.927072324356356,17034761,1.91804492487226,0.85,0.999210115519898,0.000504213264633267,0.000237966786867016
