"date","ndate","beta","beta_lo","beta_hi","lamih","lamih_lo","lamih_hi","lamif","lamif_lo","lamif_hi","lamhu","lamhu_lo","lamhu_hi","lamhf","lamhf_lo","lamhf_hi","lamuf","lamuf_lo","lamuf_hi","S","E","I","R","H","U","F","O","dailyR","dailyF","R_sin_subRegistro","dailyR_sin_subRegistro","seed","numero_reproductivo","adapt_delta_SEIR","S_porciento","I_porciento","O_porciento"
2020-03-06,0,0.467537072172467,0.0468385490587158,0.722147819398122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7251347.14846351,617.101216785124,707.719529706827,0,NA,NA,NA,0,0,NA,0,NA,2130273781,3.27216168143843,0.85,0.999817333425237,0.00018266657476255,0
2020-03-07,1,0.429142050340763,0.0230728542557546,0.641732147462833,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7250990.11020645,747.350838588881,825.596454126797,109.206729599255,NA,NA,NA,108.911710831399,109.206729599255,NA,0.013344281843529,0.013344281843529,132052897,3.00329774085105,0.85,0.999768104912137,0.00018266657476255,1.50167705493597e-05
2020-03-08,2,0.368049429590848,0.0193528661987426,0.580226784771384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7250607.46484688,863.127727073825,965.685698061375,236.934251964067,NA,NA,NA,235.69093798942,127.727522364812,NA,0.0445552487847749,0.0312109669412459,448096459,2.57561263913098,0.85,0.999715345686129,0.000216878317314413,3.24971181641754e-05
2020-03-09,3,0.356611631184318,0.0186410077959716,0.558676308851429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7250226.09305328,945.548306452371,1117.60762618262,385.671688801371,NA,NA,NA,382.720224086532,148.737436837304,NA,0.100537672714312,0.0559824239295369,1740862690,2.49543957748626,0.85,0.999662762059679,0.000252157195706509,5.2769548341812e-05
2020-03-10,4,0.368011642365104,0.130994667110082,0.463082427112544,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7249802.1056705,1041.61384115164,1277.16796955486,556.616980556691,NA,NA,NA,551.08172879059,170.94529175532,NA,0.240504553729664,0.139966881015352,41274348,2.57506214777047,0.85,0.999604302586456,0.000284468391979366,7.59832694943484e-05
2020-03-11,5,0.354281151878543,0.13905175722675,0.443942557898184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7249304.44958604,1174.11379071476,1451.2481358513,751.274267911418,NA,NA,NA,742.157697390967,194.657287354727,NA,0.381559831625785,0.141055277896121,1045288198,2.47881657840667,0.85,0.999535685656507,0.000319714144049324,0.0001023288659051
2020-03-12,6,0.379949871786179,0.274007795514004,0.439998511161792,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7248761.73862203,1308.42478362479,1643.51099497047,972.122718653627,NA,NA,NA,958.294809371392,220.84845074221,NA,0.520546106586646,0.138986274960861,1832388167,2.65821517011006,0.85,0.999460856549894,0.000361985477588342,0.000132129898255384
2020-03-13,7,0.331293201887521,0.194959441140461,0.399988571946801,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7248103.26063171,1504.54738057452,1861.87594124359,1222.1009726114,NA,NA,NA,1202.28525646784,249.978253957772,NA,0.928423359841605,0.407877253254959,783070094,2.31759156199826,0.85,0.999370065460332,0.000407013551850575,0.000165771354553459
2020-03-14,8,0.297828568031506,0.154072190124781,0.368558802410897,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7247454.87385085,1637.63514690489,2101.61869894522,1505.0868962445,NA,NA,NA,1477.84151329516,282.985923633099,NA,1.34020517828266,0.411781818441054,585492325,2.08330030819104,0.85,0.999280665748941,0.000464163185114354,0.000203765111612532
2020-03-15,9,0.27082483643245,0.122201210689218,0.342864312496452,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7246802.16549316,1737.89070280055,2345.45927438983,1822.75129240083,NA,NA,NA,1786.45373964317,317.66439615633,NA,2.29105055393769,0.950845375655027,887073349,1.89423954870973,0.85,0.99919067017759,0.000515569139446053,0.000246316632990884
2020-03-16,10,0.230686625642898,0.0559003412684114,0.309610136283272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7246145.86829119,1814.12649521344,2584.160636149,2174.96941242244,NA,NA,NA,2127.81378744742,352.21812002161,NA,3.16851680936618,0.877466255428499,85296259,1.61335334406153,0.85,0.999100179775603,0.000563013189418403,0.000293383431165879
2020-03-17,11,0.213442328485351,0.0531802091295799,0.291444237856481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7245537.19503521,1829.61571465855,2804.93854619649,2560.2175632501,NA,NA,NA,2500.21991393053,385.248150827664,NA,4.09570049597519,0.927183686609003,1327120258,1.49262649078942,0.85,0.999016255773723,0.000606436793230775,0.000344730869470561
2020-03-18,12,0.219802786669521,0.0613848298422901,0.293383881106131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7244932.83790449,1838.65270539305,3000.29334125867,2975.17215798946,NA,NA,NA,2900.18525885248,414.954594739361,NA,5.02386800277022,0.92816750679503,1618564127,1.53697768716937,0.85,0.99893292688014,0.000639013356805639,0.00039987817885115
