"date","time","m2w","m4w","q25","q75","X10p_h","X20p_l","eq","unc_l","proj","unc_h"
2022-12-17,0,20.75044259698,20.75044259698,20.75044259698,20.75044259698,20.75044259698,20.75044259698,20.75044259698,20.75044259698,20.75044259698,20.75044259698
2022-12-18,1,20.8719848014121,20.8719848013481,20.87198480124,20.8719848580318,20.8719848581776,20.8719848013713,20.8719848012544,20.8719792060641,20.8719848014242,20.8719883049033
2022-12-19,2,20.9206887382813,20.9206887377057,20.9206887367361,20.9206889217636,20.9206889230755,20.9206887379138,20.9206887368655,20.9206040404016,20.9206887383902,20.9207394411887
2022-12-20,3,20.9413323118467,20.9413323050558,20.9413322936038,20.941332783771,20.9413327992386,20.9413323075111,20.9413322951325,20.9409206768567,20.9413323131316,20.9415787978868
2022-12-21,4,20.9799613710308,20.9799613369513,20.9799612794123,20.9799625328897,20.9799626106221,20.9799613492766,20.979961287098,20.9786923364214,20.9799613774759,20.9807206992742
2022-12-22,5,21.0856060423423,21.0856059219341,21.0856057185204,21.0856088645484,21.0856091388019,21.0856059654873,21.0856057456999,21.0825438470149,21.0856060651078,21.0874408592683
2022-12-23,6,21.3122600582221,21.3122596624843,21.3122589938897,21.3122672048373,21.312268105966,21.31225980563,21.3122590832286,21.3059027106811,21.3122601330416,21.316071632268
2022-12-24,7,21.7211606233953,21.7211593889738,21.7211573033273,21.7211787882737,21.7211815991694,21.7211598354923,21.7211575820228,21.7092351401726,21.7211608567741,21.7283152574438
2022-12-25,8,22.3834527677672,22.3834490248596,22.383442700913,22.3835015658087,22.3835100901457,22.3834503787562,22.3834435459552,22.3626444229697,22.3834534753972,22.395945480946
2022-12-26,9,23.3832639310508,23.3832526980849,23.3832337181421,23.3833947155572,23.3834202954404,23.3832567613586,23.3832362544166,23.3488671647689,23.3832660546943,23.403930544951
2022-12-27,10,24.8212242182841,24.8211909277934,24.8211346819078,24.8215926586321,24.8216685548839,24.8212029696848,24.82114219772,24.766699073489,24.821230512196,24.8540123699314
2022-12-28,11,26.8183955420691,26.8182967074081,26.8181302325813,26.8194286809269,26.8196457953788,26.8183327235136,26.8181524417251,26.7348194480549,26.8184141491134,26.868703022978
2022-12-29,12,29.5205027338882,29.5202141719156,29.5197313967117,29.5234451739962,29.5241287345895,29.5203191577106,29.5197916323124,29.3959148414784,29.5205571121211,29.5955911785601
2022-12-30,13,33.1022080127122,33.1013751518531,33.0999636157109,33.1106462517251,33.1125495528296,33.1016731421831,33.1001484074912,32.9208678389978,33.1023656793186,33.2116980662784
2022-12-31,14,37.7709740383432,37.7685725329517,37.7645237097985,37.7952007117589,37.8009174710712,37.7694333070948,37.7650534595028,37.5126022628927,37.7714245509191,37.9274320295172
2023-01-01,15,43.7697659371042,43.7629322862809,43.7514188119692,43.8385282498851,43.8544806492207,43.7653874108073,43.7529616282534,43.4089150872646,43.771038576639,43.9894272341453
2023-01-02,16,51.3774182818016,51.3583635548303,51.3262809996309,51.5663586350809,51.6105385774443,51.3652277387144,51.3305607687216,50.8833673577138,51.3809865964662,51.6812190676967
2023-01-03,17,60.9052040251445,60.8535656201549,60.7666125743322,61.3912867384315,61.5126322852083,60.8721978663787,60.7782309723225,60.2429725499407,60.9149204765186,61.3204503115776
2023-01-04,18,72.6875265078791,72.5534485813325,72.327791095779,73.808002214835,74.1298732914676,72.6018252693031,72.3578922145331,71.8212504431739,72.7128625633821,73.251026952726
2023-01-05,19,87.0654237933689,86.7379710495341,86.187258964092,89.2943540081369,90.1024603936421,86.856168777977,86.2607814353435,85.9652716994254,87.1274158381151,87.8288196050487
2023-01-06,20,104.362816071814,103.623650059788,102.380999251116,108.13168203638,110.009220155168,103.8905750276,102.546647975265,103.015735055771,104.50279822179,105.400046884431
2023-01-07,21,124.858128832663,123.331944634888,120.764021039694,130.30022478917,134.271069576665,123.883470152286,121.106030921789,123.280189869279,125.146868236062,126.272579984006
2023-01-08,22,148.754693277893,145.87561525377,141.017906664382,155.525318898596,163.150276984214,146.917459629765,141.664691999572,147.000971210137,149.2979494089,150.682114504403
2023-01-09,23,176.152766105348,171.161943597685,162.697525884744,183.378062063744,196.764959443165,172.971994031613,163.824705947318,174.321204283549,177.090107559773,178.75703295982
2023-01-10,24,207.025735461683,199.004902105828,185.291530485312,213.352118643549,235.071208977828,201.923317341338,187.118683504476,205.253661879317,208.521934418026,210.48717381412
2023-01-11,25,241.204234673996,229.138669769354,208.276322638283,244.911561195579,277.835288267972,233.548030320055,211.058785857338,239.657766616589,243.434245012047,245.701994699165
