"","Fecha","Fallecido_diario"
"91",2020-06-05,0
"92",2020-06-06,0
"93",2020-06-07,0
"94",2020-06-08,8
"95",2020-06-09,17
"96",2020-06-10,25
"97",2020-06-11,16
"98",2020-06-12,18
"99",2020-06-13,0
"100",2020-06-14,1
"101",2020-06-15,0
"102",2020-06-16,1
"103",2020-06-17,0
"104",2020-06-18,0
"105",2020-06-19,0
"106",2020-06-20,0
"107",2020-06-21,0
"108",2020-06-22,0
"109",2020-06-23,0
"110",2020-06-24,0
"111",2020-06-25,3
"112",2020-06-26,0
"113",2020-06-27,0
"114",2020-06-28,0
"115",2020-06-29,0
"116",2020-06-30,3
"117",2020-07-01,0
"118",2020-07-02,0
"119",2020-07-03,0
"120",2020-07-04,0
"121",2020-07-05,0
"122",2020-07-06,0
"123",2020-07-07,0
"124",2020-07-08,5
"125",2020-07-09,19
"126",2020-07-10,28
"127",2020-07-11,16
"128",2020-07-12,18
"129",2020-07-13,1
"130",2020-07-14,1
"131",2020-07-15,2
"132",2020-07-16,1
"133",2020-07-17,0
"134",2020-07-18,3
"135",2020-07-19,0
"136",2020-07-20,3
"137",2020-07-21,3
"138",2020-07-22,1
"139",2020-07-23,3
"140",2020-07-24,3
"141",2020-07-25,1
"142",2020-07-26,6
"143",2020-07-27,4
"144",2020-07-28,0
"145",2020-07-29,3
"146",2020-07-30,4
"147",2020-07-31,1
"148",2020-08-01,0
"149",2020-08-02,0
"150",2020-08-03,0
"151",2020-08-04,0
"152",2020-08-05,0
"153",2020-08-06,0
"154",2020-08-07,0
"155",2020-08-08,4
"156",2020-08-09,21
"157",2020-08-10,19
"158",2020-08-11,12
"159",2020-08-12,14
"160",2020-08-13,12
"161",2020-08-14,12
"162",2020-08-15,5
"163",2020-08-16,9
"164",2020-08-17,8
"165",2020-08-18,15
"166",2020-08-19,10
"167",2020-08-20,14
"168",2020-08-21,16
"169",2020-08-22,15
"170",2020-08-23,11
"171",2020-08-24,17
"172",2020-08-25,17
"173",2020-08-26,19
"174",2020-08-27,11
"175",2020-08-28,17
"176",2020-08-29,16
"177",2020-08-30,25
"178",2020-08-31,11
"179",2020-09-01,0
"180",2020-09-02,0
"181",2020-09-03,0
"182",2020-09-04,1
"183",2020-09-05,0
"184",2020-09-06,0
"185",2020-09-07,0
"186",2020-09-08,7
"187",2020-09-09,14
"188",2020-09-10,27
"189",2020-09-11,10
"190",2020-09-12,11
"191",2020-09-13,21
"192",2020-09-14,20
"193",2020-09-15,21
"194",2020-09-16,18
"195",2020-09-17,17
"196",2020-09-18,19
"197",2020-09-19,22
"198",2020-09-20,15
"199",2020-09-21,24
"200",2020-09-22,16
"201",2020-09-23,20
"202",2020-09-24,29
"203",2020-09-25,28
"204",2020-09-26,24
"205",2020-09-27,22
"206",2020-09-28,23
"207",2020-09-29,21
"208",2020-09-30,26
"209",2020-10-01,0
"210",2020-10-02,0
"211",2020-10-03,0
"212",2020-10-04,0
"213",2020-10-05,0
"214",2020-10-06,0
"215",2020-10-07,1
"216",2020-10-08,8
"217",2020-10-09,21
"218",2020-10-10,20
"219",2020-10-11,15
"220",2020-10-12,16
"221",2020-10-13,17
"222",2020-10-14,17
"223",2020-10-15,14
"224",2020-10-16,20
"225",2020-10-17,19
"226",2020-10-18,15
"227",2020-10-19,23
"228",2020-10-20,12
"229",2020-10-21,22
"230",2020-10-22,13
"231",2020-10-23,14
"232",2020-10-24,13
"233",2020-10-25,23
"234",2020-10-26,16
"235",2020-10-27,13
"236",2020-10-28,18
"237",2020-10-29,13
"238",2020-10-30,11
"239",2020-10-31,14
"240",2020-11-01,0
"241",2020-11-02,0
"242",2020-11-03,0
"243",2020-11-04,1
"244",2020-11-05,0
"245",2020-11-06,0
"246",2020-11-07,1
"247",2020-11-08,9
"248",2020-11-09,16
"249",2020-11-10,17
"250",2020-11-11,16
"251",2020-11-12,19
"252",2020-11-13,13
"253",2020-11-14,10
"254",2020-11-15,17
"255",2020-11-16,13
"256",2020-11-17,5
"257",2020-11-18,11
"258",2020-11-19,6
"259",2020-11-20,9
"260",2020-11-21,10
"261",2020-11-22,14
"262",2020-11-23,18
"263",2020-11-24,11
"264",2020-11-25,13
"265",2020-11-26,17
"266",2020-11-27,10
"267",2020-11-28,9
"268",2020-11-29,11
"269",2020-11-30,13
"270",2020-12-01,0
"271",2020-12-02,0
"272",2020-12-03,0
"273",2020-12-04,0
"274",2020-12-05,1
"275",2020-12-06,0
"276",2020-12-07,2
"277",2020-12-08,13
"278",2020-12-09,15
"279",2020-12-10,31
"280",2020-12-11,13
"281",2020-12-12,22
"282",2020-12-13,23
"283",2020-12-14,26
"284",2020-12-15,20
"285",2020-12-16,21
"286",2020-12-17,19
"287",2020-12-18,17
"288",2020-12-19,14
"289",2020-12-20,18
"290",2020-12-21,17
"291",2020-12-22,20
"292",2020-12-23,19
"293",2020-12-24,23
"294",2020-12-25,14
"295",2020-12-26,21
"296",2020-12-27,20
"297",2020-12-28,22
"298",2020-12-29,17
"299",2020-12-30,20
"300",2020-12-31,8
"301",2021-01-01,24
"302",2021-01-02,19
"303",2021-01-03,18
"304",2021-01-04,92
"305",2021-01-05,107
"306",2021-01-06,132
"307",2021-01-07,72
"308",2021-01-08,18
"309",2021-01-09,6
"310",2021-01-10,0
"311",2021-01-11,5
"312",2021-01-12,3
"313",2021-01-13,21
"314",2021-01-14,21
"315",2021-01-15,14
"316",2021-01-16,13
"317",2021-01-17,18
"318",2021-01-18,27
"319",2021-01-19,16
"320",2021-01-20,17
"321",2021-01-21,12
"322",2021-01-22,20
"323",2021-01-23,13
"324",2021-01-24,12
"325",2021-01-25,18
"326",2021-01-26,15
"327",2021-01-27,25
"328",2021-01-28,10
"329",2021-01-29,14
"330",2021-01-30,23
"331",2021-01-31,25
"332",2021-02-01,17
"333",2021-02-02,17
"334",2021-02-03,26
"335",2021-02-04,70
"336",2021-02-05,86
"337",2021-02-06,125
"338",2021-02-07,68
"339",2021-02-08,27
"340",2021-02-09,8
"341",2021-02-10,2
"342",2021-02-11,2
"343",2021-02-12,3
"344",2021-02-13,21
"345",2021-02-14,17
"346",2021-02-15,19
"347",2021-02-16,21
"348",2021-02-17,21
"349",2021-02-18,22
"350",2021-02-19,21
"351",2021-02-20,21
"352",2021-02-21,19
"353",2021-02-22,23
"354",2021-02-23,17
"355",2021-02-24,29
"356",2021-02-25,20
"357",2021-02-26,24
"358",2021-02-27,27
"359",2021-02-28,27
"360",2021-03-01,20
"361",2021-03-02,18
"362",2021-03-03,15
"363",2021-03-04,86
"364",2021-03-05,112
"365",2021-03-06,105
"366",2021-03-07,57
"367",2021-03-08,22
"368",2021-03-09,7
"369",2021-03-10,2
"370",2021-03-11,2
"371",2021-03-12,2
"372",2021-03-13,46
"373",2021-03-14,41
"374",2021-03-15,37
"375",2021-03-16,61
"376",2021-03-17,51
"377",2021-03-18,47
"378",2021-03-19,44
"379",2021-03-20,49
"380",2021-03-21,46
"381",2021-03-22,72
"382",2021-03-23,56
"383",2021-03-24,77
"384",2021-03-25,54
"385",2021-03-26,76
"386",2021-03-27,63
"387",2021-03-28,82
"388",2021-03-29,89
"389",2021-03-30,66
"390",2021-03-31,77
"391",2021-04-01,24
"392",2021-04-02,13
"393",2021-04-03,34
"394",2021-04-04,90
"395",2021-04-05,111
"396",2021-04-06,127
"397",2021-04-07,68
"398",2021-04-08,21
"399",2021-04-09,4
"400",2021-04-10,1
"401",2021-04-11,1
"402",2021-04-12,1
"403",2021-04-13,114
"404",2021-04-14,98
"405",2021-04-15,119
"406",2021-04-16,81
"407",2021-04-17,106
"408",2021-04-18,99
"409",2021-04-19,100
"410",2021-04-20,94
"411",2021-04-21,86
"412",2021-04-22,113
"413",2021-04-23,98
"414",2021-04-24,105
"415",2021-04-25,86
"416",2021-04-26,106
"417",2021-04-27,98
"418",2021-04-28,130
"419",2021-04-29,82
"420",2021-04-30,96
"421",2021-05-01,18
"422",2021-05-02,14
"423",2021-05-03,28
"424",2021-05-04,96
"425",2021-05-05,108
"426",2021-05-06,133
"427",2021-05-07,59
"428",2021-05-08,19
"429",2021-05-09,3
"430",2021-05-10,0
"431",2021-05-11,2
"432",2021-05-12,7
"433",2021-05-13,104
"434",2021-05-14,95
"435",2021-05-15,99
"436",2021-05-16,121
"437",2021-05-17,122
"438",2021-05-18,123
"439",2021-05-19,112
"440",2021-05-20,137
"441",2021-05-21,103
"442",2021-05-22,137
"443",2021-05-23,106
"444",2021-05-24,103
"445",2021-05-25,118
"446",2021-05-26,122
"447",2021-05-27,136
"448",2021-05-28,122
"449",2021-05-29,145
"450",2021-05-30,119
"451",2021-05-31,136
"452",2021-06-01,18
"453",2021-06-02,19
"454",2021-06-03,25
"455",2021-06-04,96
"456",2021-06-05,97
"457",2021-06-06,117
"458",2021-06-07,50
"459",2021-06-08,24
"460",2021-06-09,3
"461",2021-06-10,3
"462",2021-06-11,8
"463",2021-06-12,2
"464",2021-06-13,126
"465",2021-06-14,115
"466",2021-06-15,110
"467",2021-06-16,100
"468",2021-06-17,95
"469",2021-06-18,113
"470",2021-06-19,106
"471",2021-06-20,94
"472",2021-06-21,113
"473",2021-06-22,110
"474",2021-06-23,91
"475",2021-06-24,87
"476",2021-06-25,91
"477",2021-06-26,75
"478",2021-06-27,66
"479",2021-06-28,70
"480",2021-06-29,78
"481",2021-06-30,83
"482",2021-07-01,10
"483",2021-07-02,19
"484",2021-07-03,40
"485",2021-07-04,102
"486",2021-07-05,100
"487",2021-07-06,124
"488",2021-07-07,59
"489",2021-07-08,20
"490",2021-07-09,5
"491",2021-07-10,0
"492",2021-07-11,2
"493",2021-07-12,5
"494",2021-07-13,50
"495",2021-07-14,63
"496",2021-07-15,42
"497",2021-07-16,53
"498",2021-07-17,56
"499",2021-07-18,42
"500",2021-07-19,47
"501",2021-07-20,47
"502",2021-07-21,39
"503",2021-07-22,32
"504",2021-07-23,32
"505",2021-07-24,42
"506",2021-07-25,37
"507",2021-07-26,36
"508",2021-07-27,24
"509",2021-07-28,26
"510",2021-07-29,29
"511",2021-07-30,28
"512",2021-07-31,17
"513",2021-08-01,16
"514",2021-08-02,18
"515",2021-08-03,34
"516",2021-08-04,82
"517",2021-08-05,87
"518",2021-08-06,123
"519",2021-08-07,51
"520",2021-08-08,14
"521",2021-08-09,3
"522",2021-08-10,0
"523",2021-08-11,4
"524",2021-08-12,4
"525",2021-08-13,16
"526",2021-08-14,18
"527",2021-08-15,14
"528",2021-08-16,10
"529",2021-08-17,15
"530",2021-08-18,12
"531",2021-08-19,9
"532",2021-08-20,19
"533",2021-08-21,8
"534",2021-08-22,10
"535",2021-08-23,10
"536",2021-08-24,12
"537",2021-08-25,11
"538",2021-08-26,12
"539",2021-08-27,7
"540",2021-08-28,4
"541",2021-08-29,10
"542",2021-08-30,10
"543",2021-08-31,6
"544",2021-09-01,17
"545",2021-09-02,20
"546",2021-09-03,33
"547",2021-09-04,108
"548",2021-09-05,104
"549",2021-09-06,128
"550",2021-09-07,56
"551",2021-09-08,23
"552",2021-09-09,10
"553",2021-09-10,0
"554",2021-09-11,1
"555",2021-09-12,7
"556",2021-09-13,2
"557",2021-09-14,7
"558",2021-09-15,3
"559",2021-09-16,4
"560",2021-09-17,3
"561",2021-09-18,4
"562",2021-09-19,3
"563",2021-09-20,5
"564",2021-09-21,1
"565",2021-09-22,2
"566",2021-09-23,2
"567",2021-09-24,0
"568",2021-09-25,3
"569",2021-09-26,1
"570",2021-09-27,2
"571",2021-09-28,0
"572",2021-09-29,2
"573",2021-09-30,1
"574",2021-10-01,23
"575",2021-10-02,13
"576",2021-10-03,42
"577",2021-10-04,87
"578",2021-10-05,115
"579",2021-10-06,115
"580",2021-10-07,43
"581",2021-10-08,17
"582",2021-10-09,6
"583",2021-10-10,0
"584",2021-10-11,1
"585",2021-10-12,3
"586",2021-10-13,1
"587",2021-10-14,2
"588",2021-10-15,2
"589",2021-10-16,0
"590",2021-10-17,0
"591",2021-10-18,1
"592",2021-10-19,1
"593",2021-10-20,1
"594",2021-10-21,0
"595",2021-10-22,1
"596",2021-10-23,0
"597",2021-10-24,1
"598",2021-10-25,2
"599",2021-10-26,3
"600",2021-10-27,4
"601",2021-10-28,2
"602",2021-10-29,3
"603",2021-10-30,1
"604",2021-10-31,0
"605",2021-11-01,19
"606",2021-11-02,13
"607",2021-11-03,25
"608",2021-11-04,90
"609",2021-11-05,99
"610",2021-11-06,114
"611",2021-11-07,50
"612",2021-11-08,23
"613",2021-11-09,4
"614",2021-11-10,0
"615",2021-11-11,3
"616",2021-11-12,4
"617",2021-11-13,1
"618",2021-11-14,3
"619",2021-11-15,1
"620",2021-11-16,2
"621",2021-11-17,5
"622",2021-11-18,6
"623",2021-11-19,4
"624",2021-11-20,6
"625",2021-11-21,2
"626",2021-11-22,0
"627",2021-11-23,2
"628",2021-11-24,0
"629",2021-11-25,2
"630",2021-11-26,3
"631",2021-11-27,5
"632",2021-11-28,5
"633",2021-11-29,2
"634",2021-11-30,4
"635",2021-12-01,5
"636",2021-12-02,15
"637",2021-12-03,27
"638",2021-12-04,81
"639",2021-12-05,113
"640",2021-12-06,94
"641",2021-12-07,61
"642",2021-12-08,24
"643",2021-12-09,5
"644",2021-12-10,0
"645",2021-12-11,4
"646",2021-12-12,5
"647",2021-12-13,4
"648",2021-12-14,2
