"","Fecha","Confirmado_diario"
"1",2020-03-07,46
"2",2020-03-08,80
"3",2020-03-09,821
"4",2020-03-10,768
"5",2020-03-11,472
"6",2020-03-12,995
"7",2020-03-13,1
"8",2020-03-14,0
"9",2020-03-15,1
"10",2020-03-16,1
"11",2020-03-17,2
"12",2020-03-18,0
"13",2020-03-19,2
"14",2020-03-20,5
"15",2020-03-21,4
"16",2020-03-22,0
"17",2020-03-23,5
"18",2020-03-24,10
"19",2020-03-25,4
"20",2020-03-26,11
"21",2020-03-27,4
"22",2020-03-28,3
"23",2020-03-29,5
"24",2020-03-30,1
"25",2020-03-31,4
"26",2020-04-01,0
"27",2020-04-02,0
"28",2020-04-03,0
"29",2020-04-04,8
"30",2020-04-05,19
"31",2020-04-06,16
"32",2020-04-07,36
"33",2020-04-08,128
"34",2020-04-09,695
"35",2020-04-10,730
"36",2020-04-11,630
"37",2020-04-12,1022
"38",2020-04-13,12
"39",2020-04-14,2
"40",2020-04-15,13
"41",2020-04-16,25
"42",2020-04-17,3
"43",2020-04-18,4
"44",2020-04-19,2
"45",2020-04-20,0
"46",2020-04-21,5
"47",2020-04-22,0
"48",2020-04-23,7
"49",2020-04-24,3
"50",2020-04-25,5
"51",2020-04-26,0
"52",2020-04-27,2
"53",2020-04-28,9
"54",2020-04-29,10
"55",2020-04-30,17
"56",2020-05-01,0
"57",2020-05-02,0
"58",2020-05-03,0
"59",2020-05-04,9
"60",2020-05-05,16
"61",2020-05-06,1
"62",2020-05-07,42
"63",2020-05-08,208
"64",2020-05-09,1217
"65",2020-05-10,533
"66",2020-05-11,520
"67",2020-05-12,714
"68",2020-05-13,3
"69",2020-05-14,14
"70",2020-05-15,5
"71",2020-05-16,19
"72",2020-05-17,8
"73",2020-05-18,2
"74",2020-05-19,41
"75",2020-05-20,4
"76",2020-05-21,3
"77",2020-05-22,2
"78",2020-05-23,12
"79",2020-05-24,12
"80",2020-05-25,3
"81",2020-05-26,12
"82",2020-05-27,7
"83",2020-05-28,16
"84",2020-05-29,17
"85",2020-05-30,47
"86",2020-05-31,22
"87",2020-06-01,0
"88",2020-06-02,0
"89",2020-06-03,0
"90",2020-06-04,2
"91",2020-06-05,9
"92",2020-06-06,3
"93",2020-06-07,29
"94",2020-06-08,315
"95",2020-06-09,615
"96",2020-06-10,932
"97",2020-06-11,703
"98",2020-06-12,707
"99",2020-06-13,7
"100",2020-06-14,28
"101",2020-06-15,7
"102",2020-06-16,7
"103",2020-06-17,5
"104",2020-06-18,22
"105",2020-06-19,6
"106",2020-06-20,26
"107",2020-06-21,17
"108",2020-06-22,13
"109",2020-06-23,30
"110",2020-06-24,106
"111",2020-06-25,41
"112",2020-06-26,142
"113",2020-06-27,231
"114",2020-06-28,185
"115",2020-06-29,64
"116",2020-06-30,30
"117",2020-07-01,0
"118",2020-07-02,0
"119",2020-07-03,1
"120",2020-07-04,4
"121",2020-07-05,22
"122",2020-07-06,45
"123",2020-07-07,46
"124",2020-07-08,133
"125",2020-07-09,867
"126",2020-07-10,788
"127",2020-07-11,460
"128",2020-07-12,803
"129",2020-07-13,32
"130",2020-07-14,94
"131",2020-07-15,124
"132",2020-07-16,144
"133",2020-07-17,115
"134",2020-07-18,172
"135",2020-07-19,92
"136",2020-07-20,27
"137",2020-07-21,69
"138",2020-07-22,183
"139",2020-07-23,113
"140",2020-07-24,111
"141",2020-07-25,104
"142",2020-07-26,116
"143",2020-07-27,104
"144",2020-07-28,126
"145",2020-07-29,192
"146",2020-07-30,341
"147",2020-07-31,131
"148",2020-08-01,0
"149",2020-08-02,0
"150",2020-08-03,0
"151",2020-08-04,5
"152",2020-08-05,101
"153",2020-08-06,10
"154",2020-08-07,52
"155",2020-08-08,197
"156",2020-08-09,861
"157",2020-08-10,881
"158",2020-08-11,648
"159",2020-08-12,698
"160",2020-08-13,371
"161",2020-08-14,633
"162",2020-08-15,359
"163",2020-08-16,410
"164",2020-08-17,344
"165",2020-08-18,471
"166",2020-08-19,527
"167",2020-08-20,684
"168",2020-08-21,719
"169",2020-08-22,438
"170",2020-08-23,259
"171",2020-08-24,369
"172",2020-08-25,626
"173",2020-08-26,644
"174",2020-08-27,418
"175",2020-08-28,583
"176",2020-08-29,601
"177",2020-08-30,631
"178",2020-08-31,557
"179",2020-09-01,0
"180",2020-09-02,0
"181",2020-09-03,0
"182",2020-09-04,5
"183",2020-09-05,126
"184",2020-09-06,42
"185",2020-09-07,84
"186",2020-09-08,202
"187",2020-09-09,812
"188",2020-09-10,959
"189",2020-09-11,359
"190",2020-09-12,725
"191",2020-09-13,493
"192",2020-09-14,669
"193",2020-09-15,811
"194",2020-09-16,1121
"195",2020-09-17,694
"196",2020-09-18,1014
"197",2020-09-19,888
"198",2020-09-20,505
"199",2020-09-21,740
"200",2020-09-22,568
"201",2020-09-23,743
"202",2020-09-24,833
"203",2020-09-25,822
"204",2020-09-26,696
"205",2020-09-27,762
"206",2020-09-28,748
"207",2020-09-29,669
"208",2020-09-30,657
"209",2020-10-01,0
"210",2020-10-02,0
"211",2020-10-03,4
"212",2020-10-04,4
"213",2020-10-05,24
"214",2020-10-06,15
"215",2020-10-07,98
"216",2020-10-08,327
"217",2020-10-09,605
"218",2020-10-10,703
"219",2020-10-11,549
"220",2020-10-12,812
"221",2020-10-13,853
"222",2020-10-14,648
"223",2020-10-15,751
"224",2020-10-16,886
"225",2020-10-17,533
"226",2020-10-18,709
"227",2020-10-19,728
"228",2020-10-20,621
"229",2020-10-21,746
"230",2020-10-22,707
"231",2020-10-23,733
"232",2020-10-24,784
"233",2020-10-25,551
"234",2020-10-26,515
"235",2020-10-27,448
"236",2020-10-28,733
"237",2020-10-29,760
"238",2020-10-30,546
"239",2020-10-31,589
"240",2020-11-01,0
"241",2020-11-02,0
"242",2020-11-03,0
