"date","time","m2w","m4w","q25","q75","X10p_h","X20p_l","eq","unc_l","proj","unc_h"
2022-11-05,0,0.341666033971705,0.341666033971705,0.341666033971705,0.341666033971705,0.341666033971705,0.341666033971705,0.341666033971705,0.341666033971705,0.341666033971705,0.341666033971705
2022-11-06,1,0.330159505221673,0.330159505254414,0.330159505290794,0.330159516066487,0.330159505228949,0.330159505192569,0.330159505356278,0.330053198234964,0.330159505152551,0.330409177422553
2022-11-07,2,0.321906525849045,0.321906526121893,0.321906526467501,0.321906553013832,0.321906525939994,0.321906525688973,0.321906527038664,0.321250938923185,0.32190652524514,0.32345112103576
2022-11-08,3,0.312724690440518,0.312724693365453,0.312724696748774,0.312724767569307,0.312724691357289,0.312724688541493,0.312724701911065,0.311176917719422,0.312724683099077,0.316390106556355
2022-11-09,4,0.30289620763142,0.302896207707818,0.302896208169841,0.302896346165653,0.302896207620506,0.302896207729646,0.302896209632308,0.300275600482564,0.302896208671882,0.309147045674763
2022-11-10,5,0.292631513355445,0.292631518743292,0.292631525535398,0.292631860091205,0.292631515007088,0.292631510073988,0.292631537038687,0.28886908633649,0.29263150150291,0.301689078725758
2022-11-11,6,0.282090366679768,0.282090379758301,0.28209039606736,0.282091150995257,0.282090370696096,0.282090358654386,0.28209042333765,0.277191548124392,0.28209033742678,0.294011841448082
2022-11-12,7,0.271395754720288,0.271395783438493,0.271395820687758,0.271397517175501,0.271395763476903,0.271395737327111,0.271395875384769,0.265414458644955,0.271395691903308,0.28613013146969
2022-11-13,8,0.260644008048985,0.260644067755493,0.260644144193066,0.26064795430284,0.260644026293448,0.26064397178925,0.260644265723386,0.253664103332994,0.260643876485119,0.278069686788513
2022-11-14,9,0.24991176088588,0.249911887400231,0.249912040435447,0.249920622878562,0.249911799699476,0.24991168352426,0.249912308518105,0.242034099850571,0.249911480608716,0.269862471654051
2022-11-15,10,0.239260757629381,0.239261020247795,0.239261356298812,0.239280504469207,0.23926083851984,0.239260596994427,0.239261909322522,0.230594188753457,0.239260168400506,0.261543359134521
2022-11-16,11,0.2287413292579,0.228741894647101,0.228742584284191,0.228785412698926,0.228741498664021,0.228740987258789,0.228743755331379,0.219396485408652,0.228740082809963,0.253147991861624
2022-11-17,12,0.218394884712325,0.218396048494469,0.218397528395144,0.218492999440059,0.218395241172402,0.218394164319761,0.218399975397915,0.208479933739,0.218392275448423,0.244711333576561
2022-11-18,13,0.208255867182743,0.208258306065545,0.208261393374414,0.208473362283257,0.208256610432727,0.208254356981342,0.208266533085407,0.197873479693953,0.208250390765897,0.236266777363198
2022-11-19,14,0.198353431311261,0.198358555899176,0.198364964329812,0.198831776760926,0.198355005089979,0.198350286271307,0.198375732423301,0.187598355299997,0.198341992043424,0.227845562945731
2022-11-20,15,0.188713235736941,0.188723924817168,0.18873727078244,0.189747254222311,0.188716533088154,0.18870624349438,0.188759285847482,0.177669739950943,0.188689478127344,0.219476508274965
2022-11-21,16,0.179358711044188,0.179381395573728,0.179409139436757,0.181515204043535,0.179366448850487,0.179346287699445,0.179455263925774,0.168097981015308,0.179310828581947,0.211185811105679
2022-11-22,17,0.170318452110223,0.170362434742856,0.170417901012115,0.174507934192661,0.17033197560886,0.170291396258108,0.170510805037338,0.158889507390995,0.170220184132631,0.202997032571147
2022-11-23,18,0.161617699421186,0.161703027086332,0.161809887507843,0.168889230870263,0.161643829273089,0.161565485512256,0.161989784635807,0.150047527527931,0.161428322531719,0.194931118494424
2022-11-24,19,0.15328509534811,0.153439715504646,0.153633787747822,0.164231765906152,0.153332430778391,0.153190614837513,0.15396150736342,0.14157257154875,0.152943057026278,0.187006474552618
2022-11-25,20,0.145338355054264,0.145596762242349,0.145922238960338,0.159739401522529,0.145417370771611,0.145180794654152,0.146474737768585,0.133462927602523,0.144769590791839,0.179239084303845
2022-11-26,21,0.137777481078956,0.138174231742596,0.138676043796295,0.154980801689817,0.13789870243636,0.137536603073386,0.139534735113557,0.125714995810995,0.13691081518482,0.17164270592184
2022-11-27,22,0.130587308929535,0.131150619694381,0.131868237185699,0.150079512037337,0.130759001367551,0.130246642907878,0.133106569406664,0.118323586513725,0.129367579997052,0.164228914003616
2022-11-28,23,0.123744853703101,0.124494755749765,0.125457336300315,0.145321602001786,0.123972867604607,0.123293835487857,0.127136998667993,0.111282173402287,0.122138952599926,0.15700728790398
2022-11-29,24,0.117227538277803,0.118175750285445,0.119403476197476,0.140897041274002,0.117515076450218,0.116660831889021,0.121573159787658,0.104583113185072,0.11522243365107,0.1499855828406
2022-11-30,25,0.111015738300921,0.112167400297039,0.113672880881495,0.136886510088516,0.111363928761421,0.110332218308031,0.116370820582233,0.0982178385129373,0.108614165419567,0.143169875722378
2022-12-01,26,0.105093238958943,0.106448617159913,0.108238749871816,0.133312607213156,0.105501691334212,0.104294850443694,0.111495232835296,0.0921770280583587,0.102309121088183,0.136564708824153
2022-12-02,27,0.0994465997900988,0.101002488772792,0.103079980057373,0.130174499645364,0.0999138625629712,0.0985374170741125,0.1069194402844,0.0864507581354701,0.0963012771389913,0.130173229244974
2022-12-03,28,0.0940643821049889,0.0958151285631175,0.0981796054657025,0.127464443226927,0.0945882790801988,0.0930498732232081,0.102622073089151,0.081028637545387,0.0905837666505249,0.123997325357777
2022-12-04,29,0.0889364196227689,0.0908746817694919,0.0935234700446017,0.125173798358446,0.0895142759909504,0.0878229724912671,0.0985855796097894,0.0758999278841657,0.0851490313652903,0.118037775358971
