"nombre","opt","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"lamuf309",0.300114039292344,0.292402869901337,0.00147653781925467,0.201028081214097,0.011837637686811,0.122748974069004,0.261926369068964,0.43426007949371,0.723692241976251,18536.3535508577,1.00074761408395
"sigma_h309",30.0980572475753,35.3396095060845,0.0572056607912323,8.06715192969224,23.7626700770774,29.672833265001,34.0226241661083,39.4539293793941,54.732427753851,19886.687952161,1.00052991665804
"sigma_u309",19.1384055909677,21.8901519405933,0.0345044521889856,4.98163724045538,14.7054452960567,18.3833686015334,21.0592300265905,24.4371231923203,33.8069786648842,20844.6172604152,1.00027387866599
"sigma_f309",3.53736452645312,3.55802830697054,0.00552774831939426,0.796790889673645,2.39655836568784,3.0031179198059,3.42629833268378,3.96936253421365,5.4604662064404,20777.4476719132,1.00067701172727
"lp__309",-132.454606615788,-136.772357519267,0.0219007599446545,2.24196550949914,-142.103060091759,-138.027632585794,-136.403594182186,-135.132424362858,-133.477178582508,10479.4739984673,1.00151779422161
"lamih310",0.072572877440585,0.0730930645001735,1.5242398930554e-05,0.00225509606655668,0.0687468334057095,0.0716205319387949,0.0730437772650055,0.0745300970275609,0.0776318524605341,21888.8752916242,1.00033498502318
"lamif310",0.00874519655376983,0.00598092113863595,2.86050528178027e-05,0.00423374639025584,0.000226861016650842,0.00237404520724718,0.00526587429857241,0.00892665079803372,0.015138159026124,21906.0548485709,1.00027282276266
"lamhu310",0.225573179324896,0.227618265770509,8.72914193858068e-05,0.0128888221073202,0.202337883944118,0.219340745239698,0.227560039174779,0.235862793606942,0.25312843476503,21801.3480590293,1.00034832114903
"lamhf310",0.0643849232767213,0.0723736098215177,0.00036275719788694,0.0515656258985509,0.00280049884085324,0.0289214049214563,0.0633532614056598,0.108357673699005,0.184291012562814,20206.3797191638,1.00042015269614
"lamuf310",0.187872020960071,0.268319043460149,0.00130120392158488,0.18681992636215,0.0111258279046105,0.112962603514604,0.236324031207948,0.396262003446804,0.675923659776814,20613.6864653932,1.00035478303915
"sigma_h310",32.0333154844435,35.7689328746,0.0554304791038718,8.08338194150025,24.0059584199903,30.0569838784277,34.4354745161688,39.9396587975905,55.3476132389016,21266.153037375,1.00027965940325
"sigma_u310",21.5125581120506,22.887353982173,0.0368893962691579,5.19956011965565,15.3470303858065,19.2740205131244,22.0549631520995,25.505820475229,35.3749058538078,19866.900326055,1.00002215279003
"sigma_f310",3.55154938227532,3.83480580881479,0.00606612709450321,0.868768269830579,2.56157153203035,3.22202566711578,3.68648819939245,4.29068528430488,5.92218236651781,20510.9082091745,1.00044962520974
"lp__310",-134.182805051274,-138.515563903025,0.0210237044299833,2.2252843937728,-143.865390687955,-139.74042980591,-138.158863008963,-136.876628380107,-135.259565450211,11203.4701117458,1.00042912192022
"lamih311",0.0730732571648695,0.0725228475134461,1.50927460360249e-05,0.0021916405951383,0.0683029673937549,0.071073554359534,0.0724907654275386,0.0739377398872392,0.0769420328625034,21086.3855844517,1.00052807912908
"lamif311",0.00715285966398213,0.00600897426977899,3.02521456152534e-05,0.00425704788063083,0.000214376481123666,0.00242809263591445,0.00527641755418638,0.00897239019673314,0.0152862682564379,19801.801626055,1.00033832968914
"lamhu311",0.235284017852786,0.235032752998681,8.60074849260961e-05,0.0130287441366422,0.20963181790258,0.226606431314198,0.234928612062276,0.243330678790414,0.260897737369124,22947.3539618363,1.00007504640181
"lamhf311",0.0791579813571121,0.0729471838761656,0.000367025453300806,0.0520637081243333,0.00263596169189402,0.0294634353107745,0.0639332509475547,0.109026387852822,0.186478413816464,20122.3095508012,1.00049872661837
"lamuf311",0.18586952824701,0.26280765701354,0.00128582795047445,0.182801000064144,0.0106152090830564,0.109849360747421,0.232418618203522,0.389926130562159,0.657091871979599,20211.167942111,1.00015576128013
"sigma_h311",32.2561863201674,34.054206525722,0.0558705780243559,7.72072434271132,22.8639865531286,28.6500733419718,32.7833478783149,38.0239448460542,52.216127428281,19096.3235686441,1.00023059005263
"sigma_u311",19.0017543967173,23.0063927017384,0.0351821714842502,5.17105856114391,15.4138811049051,19.3790442751053,22.1830269890216,25.6838097735896,35.3432919802991,21602.9783287998,1.00013506063393
"sigma_f311",3.63117732109999,3.8404342722016,0.00584964904779802,0.875349508229216,2.56756340965965,3.22939904428109,3.69675616290798,4.28822840878713,5.92592340430416,22392.5401627891,1.00028336346666
"lp__311",-133.682548311439,-137.96114852244,0.0217851489108662,2.23388821007925,-143.240392502747,-139.219973537923,-137.603694742908,-136.315531696576,-134.681737151951,10514.8191232545,1.00165463901904
"lamih312",0.0726947379606234,0.0718641774569986,1.33109491498855e-05,0.00192865645819645,0.0681175916598306,0.0706031928480037,0.0718368856153012,0.0730886007709459,0.0757734254192034,20993.8312986207,1.0003460744237
"lamif312",0.00570382389046231,0.00575339047424631,2.91093401846828e-05,0.00421645787806333,0.00020069535159452,0.0022415017989507,0.00490507483504131,0.00858382863357244,0.0151804131066732,20981.2234625042,1.00023888471051
"lamhu312",0.24506108315094,0.242260623440182,9.11054531248401e-05,0.0132585626503075,0.216346020650724,0.233642467796957,0.242059142715483,0.250587246353083,0.269130305691221,21178.9363556517,1.0002164988671
"lamhf312",0.0735997826234851,0.0691009856247226,0.000359930653742132,0.0512256747801188,0.00257692689081632,0.0260659723492443,0.0588214840544369,0.103458781240341,0.185521933346139,20255.2545530003,1.00045190825441
"lamuf312",0.285219053261413,0.292200470884902,0.00140597086064445,0.187335574544386,0.0142172535656426,0.135159891257,0.272204242697882,0.43018490785884,0.674005420388004,17753.6589819645,1.00066672674066
"sigma_h312",27.1831522579743,29.1142978049925,0.044922332178828,6.5332016188725,19.5921714491102,24.5489556965959,28.0542543647815,32.4779630698869,44.7839281357397,21150.8357255621,1.00041263401792
"sigma_u312",19.9573935452898,22.7369058711073,0.0355704894879706,5.17532653058289,15.2156830403342,19.1333239930149,21.9232569743828,25.3496187962957,35.3819929642132,21168.7799932944,1.00023145384854
"sigma_f312",3.39006003496411,3.97007512573645,0.00595484111369016,0.889083902593521,2.66624744146237,3.34351518488368,3.8291710044529,4.4256304075753,6.11050682180163,22291.7999990893,1.00012597505691
"lp__312",-131.919835779389,-136.183358927207,0.0206665301442122,2.20958760475955,-141.384997452889,-137.433964515723,-135.815709587864,-134.562811279483,-132.944814826245,11431.0814227323,1.00063368014603
