"nombre","opt","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"lp__6",-18.3471674627207,-19.4756046724253,0.0177813490666362,1.12188520189731,-22.507105242972,-19.9271894148872,-19.1195603689812,-18.666495050893,-18.375538475877,3980.77309764458,1.00254417759391
"beta7",0.35844726403301,0.342410539924087,0.000799792536124501,0.048246142647467,0.228512865243478,0.317128603460715,0.347700490046089,0.374483354015759,0.421099033875873,3638.90317072459,1.0022407235974
"sigma7",2.62114861184289,2.94041279617163,0.00971452465142908,0.679658973970208,1.96904969167099,2.46338445290638,2.82561623905155,3.28643573943111,4.5789131284382,4894.84565068867,1.00178225981977
"lp__7",-20.0629054041905,-21.2506209434261,0.0209333695246851,1.20652764736307,-24.5293848109203,-21.6862820842068,-20.8727751120569,-20.4033875070639,-20.0922016930557,3321.97436335839,1.00309088949386
"beta8",0.317358048910392,0.297980010760732,0.000876341735599454,0.0522051355870059,0.176890175393238,0.269988516226464,0.303587635239276,0.333071309488125,0.383981345641657,3548.78317412052,1.00256843513455
"sigma8",2.85701491518841,3.19030622015851,0.010451085089705,0.720257400168115,2.15665137185994,2.68633383395209,3.06684925213952,3.55694601233945,4.91605582179392,4749.55248069654,1.0016205197179
"lp__8",-21.3325161416502,-22.4907412846683,0.0225855057239082,1.18247618512808,-25.6547514248758,-22.9318082513218,-22.1179354526335,-21.6599810901992,-21.3636779875605,2741.10181196893,1.00401657111782
"beta9",0.298997023989795,0.279456071712449,0.000992689019360554,0.054023675557064,0.151707114865607,0.251985584001023,0.286113524809516,0.315484245635332,0.365467818269715,2961.70515434376,1.00368089151126
"sigma9",2.90217933906789,3.24704924853591,0.0104015273731365,0.744207246140393,2.16453634503971,2.72551864020093,3.12370116791765,3.62918165080001,5.02285135231441,5119.09932276331,1.00167029571312
"lp__9",-21.564415388509,-22.78533157294,0.0256057882455748,1.27182846950649,-26.2476425211772,-23.2320110319613,-22.3894537846569,-21.9016431681627,-21.5923673393535,2467.0660980051,1.00466126401162
"beta10",0.254601953540683,0.225718915755551,0.00118653587867403,0.0624802898385032,0.078479031496967,0.192549981251438,0.233781909165882,0.268168620338435,0.330547148721011,2772.83687526479,1.00744161796865
"sigma10",3.21665877264707,3.57150355053954,0.0116434942811062,0.806117437580004,2.40856474723506,3.00591787817162,3.43653322923086,3.97861390476529,5.52865987287995,4793.2486987506,1.00166404108868
"lp__10",-23.069748959633,-24.3436873278009,0.0288080072433927,1.31010071392522,-27.8625174024393,-24.8362128142986,-23.9124298883722,-23.4209528309275,-23.1017458138566,2068.15427235591,1.00660366695388
"beta11",0.239641683327169,0.213451371114022,0.00114209983594996,0.0597704450573866,0.0686315569644243,0.180218220048577,0.220322358527935,0.254265750590971,0.312822653237821,2738.82851607539,1.00289644402295
"sigma11",3.24357003261498,3.59675697810702,0.0121877600874177,0.80061931093974,2.43027704727169,3.02244537942268,3.45700567849846,4.02455271058796,5.54073657145687,4315.2337800076,1.00145484070851
"lp__11",-23.2042934062362,-24.4358548547995,0.0265555708659762,1.24437799208716,-27.8752901795308,-24.90808056607,-24.0405126757955,-23.5500214832478,-23.2346707554686,2195.80292598021,1.00378484109868
"beta12",0.251971479961772,0.230048159465995,0.000888749756382071,0.0539524101706048,0.105239155143892,0.198281999718267,0.235286997014087,0.26736566136824,0.321347133365743,3685.21399067133,1.0029203775913
"sigma12",3.23251200725326,3.58675560482058,0.011630707171311,0.793217089054119,2.41712283622541,3.02432829851586,3.46143688587405,3.99510712629329,5.50858894510698,4651.27354058373,1.00256635631738
"lp__12",-23.1064731888208,-24.3097080789015,0.0221224685358523,1.17348012846089,-27.5097308070996,-24.7806238703529,-23.9504620032325,-23.4573226409618,-23.1392044932196,2813.74222045603,1.00435109806404
"beta13",0.304151259935234,0.285594586890692,0.000764961061456084,0.0510170218911033,0.168161168982861,0.25746970000816,0.290977639411425,0.320350221793671,0.370503396148965,4447.86449954318,1.00183445634946
"sigma13",3.79703205821209,4.23447196554172,0.0142953236993655,0.964488604634661,2.81825994182257,3.56128596812627,4.0793327347934,4.72547966007542,6.57620911215227,4552.04151286139,1.00232006083013
"lp__13",-25.0260232461158,-26.2244562813045,0.019888138144069,1.18755524840336,-29.3726252421656,-26.6901472794824,-25.8462236397563,-25.3678225212173,-25.0558742963461,3565.49138018433,1.00365094683387
"beta14",0.270477564910798,0.24767130073172,0.00103923752927425,0.0564978563819504,0.107460373560775,0.217914692747726,0.254009125294451,0.286065181126698,0.339768677213491,2955.52268541424,1.00544500805721
"sigma14",3.98249574748202,4.41789291226836,0.0150413768202108,0.992981492923066,2.97138957434264,3.72226181900421,4.2576455885837,4.94163103309135,6.77205560297977,4358.19969119161,1.00362165448182
"lp__14",-25.7597028152753,-26.9846715646154,0.0282851086720144,1.25533121171272,-30.4615441519134,-27.430312366677,-26.6072055988118,-26.1141621072888,-25.793362887429,1969.70392641024,1.00854330798928
"beta15",0.264981693790954,0.244445185904774,0.000793686166921174,0.0515894110637805,0.121930201183944,0.216165119199783,0.249955137889721,0.27964304887376,0.329972495870068,4224.96891448018,1.00147807958542
"sigma15",3.97320542239995,4.40440645102554,0.0142681178750193,0.981489893689387,2.94985143857806,3.72260333934806,4.25024568519048,4.90488328503617,6.75686265653538,4731.92973367957,1.00198974138349
"lp__15",-25.7520078738098,-26.9448690065165,0.0224016033100956,1.18992324584696,-30.2370317804043,-27.4067539948391,-26.5753807850528,-26.0850068103827,-25.7837374752135,2821.49764906771,1.0030880299787
"beta16",0.253168879414074,0.233822150775249,0.000830664452059636,0.0488822535780664,0.122097957119062,0.205786563105456,0.238508689481699,0.267074517648701,0.315649633393915,3462.98960896021,1.00441041969707
"sigma16",3.88914036891633,4.32497783705989,0.0140411009062898,0.96581215098944,2.89101293312939,3.64537196441845,4.17913050939297,4.83579269417695,6.60933074241187,4731.32748321571,1.00208263586438
"lp__16",-25.5234701333068,-26.7279074531156,0.0232234593043219,1.18407219827817,-29.884218729751,-27.1962750192768,-26.3754304533375,-25.8706346597278,-25.5556101309947,2599.57615742323,1.00850354359136
"beta17",0.216861258751643,0.192486245468793,0.00103937617665764,0.0546082456961907,0.0674307343335258,0.160176196736126,0.198084684739799,0.229973541565047,0.286969421100811,2760.39310180034,1.00484445217812
