"date","ndate","beta","beta_lo","beta_hi","lamih","lamih_lo","lamih_hi","lamif","lamif_lo","lamif_hi","lamhu","lamhu_lo","lamhu_hi","lamhf","lamhf_lo","lamhf_hi","lamuf","lamuf_lo","lamuf_hi","S","E","I","R","H","U","F","O","dailyR","dailyF","R_sin_subRegistro","dailyR_sin_subRegistro","seed","numero_reproductivo","adapt_delta_SEIR","S_porciento","I_porciento","O_porciento"
2020-03-06,63,0.444551074603335,0.143385253152655,0.581402354725212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7250897.44484847,835.209975119629,939.314386412315,0,NA,NA,NA,0,0,NA,0,NA,1335947473,3.11109613841801,0.85,0.999755328192277,0.000244671807723469,0
2020-03-07,64,0.394190653968076,0.0190495100703544,0.770132206780449,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7250445.38058704,984.028679691442,1096.8376659155,146.117021759084,NA,NA,NA,145.722277351426,146.117021759084,NA,4.4229076272702,4.4229076272702,1132682024,2.75848745508797,0.86,0.999692997472875,0.000244671807723469,2.00922195254474e-05
2020-03-08,65,0.387956085956,0.0184146895698618,0.763968970190205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7249979.85485163,1103.70044426059,1274.73125522266,315.342209717468,NA,NA,NA,313.682658887598,169.225187958383,NA,8.30782383549836,3.88491620822816,967142464,2.71468456560861,0.87,0.999628810682491,0.000286910307599863,4.32506337277192e-05
2020-03-09,66,0.365965953915894,0.0165610020279147,0.734150955014711,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7249446.64182042,1244.59953150391,1469.53290041721,515.133486846667,NA,NA,NA,511.19495765981,199.791277129199,NA,13.0723799049936,4.76455606949522,1033114262,2.56062243932924,0.86,0.999555291152933,0.000327938683781712,7.04836727526079e-05
2020-03-10,67,0.171358420323,0.00725390826881634,0.308217078382217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7248873.21768235,1383.34336899759,1681.75383668598,741.037331128713,NA,NA,NA,733.654321965899,225.903844282047,NA,19.7742943590653,6.70191445407176,1709715385,1.19888067223222,0.85,0.999476227307153,0.000374225174314172,0.000101156418638607
2020-03-11,68,0.154774214115722,0.00618576363967647,0.292599084912215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7248571.30162779,1251.04609325683,1864.58890235726,997.178322390432,NA,NA,NA,985.032586593391,256.140991261719,NA,25.6896913359021,5.91539697683677,1634831965,1.08280693240204,0.85,0.999434599055408,0.000422616274208446,0.000135816508836355
2020-03-12,69,0.155252150013401,0.00645733706445536,0.291470016048733,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7248278.91857974,1150.78913242579,1987.67526191022,1272.94570975803,NA,NA,NA,1254.58623592139,275.767387367594,NA,31.8119997583447,6.12230842244262,679312936,1.08610678043698,0.85,0.999394285216689,0.000429584435755677,0.000172982625058395
2020-03-13,70,0.159027786899183,0.00607057344237644,0.292456727311789,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7247970.44660759,1092.94660301256,2070.50263518596,1564.18549364372,NA,NA,NA,1538.07336421491,291.239783885689,NA,42.6527239203443,10.8407241619996,59398593,1.11247288333125,0.85,0.999351753033589,0.000432732158252825,0.000212069892412692
2020-03-14,71,0.195787455514667,0.00855523362543448,0.325739941230565,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7247638.83026901,1067.37549802847,2129.83336471451,1871.41128996744,NA,NA,NA,1835.93007825233,307.225796323725,NA,52.6281911667761,9.97546724643175,1128194411,1.36956109384823,0.85,0.999306029700177,0.000436177073998165,0.000253138441397386
2020-03-15,72,0.209031318744032,0.00966599131067867,0.334991138900579,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7247222.74877227,1124.04250571853,2187.06122577519,2184.63393761716,NA,NA,NA,2138.11670624097,313.222647649721,NA,65.1881951387275,12.5600039719515,300954431,1.46211985649868,0.85,0.999248660292253,0.000440831858426272,0.000294803999866255
2020-03-16,73,0.181982628763233,0.00852433088604655,0.309250611999381,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7246757.61707797,1200.25453265101,2257.45733276612,2515.91688605915,NA,NA,NA,2456.64026662021,331.282948441991,NA,75.9888037715931,10.8006086328655,1922494029,1.27283958896136,0.86,0.999184527832343,0.000456535707881242,0.000338722098152166
2020-03-17,74,0.125927154307455,0.00623489839178761,0.209413425578078,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7246352.80996631,1215.23542015351,2331.92337910533,2845.79696913916,NA,NA,NA,2772.00044443733,329.880083080006,NA,81.121221684341,5.13241791274788,1661527576,0.880722049251037,0.85,0.999128712939105,0.000476750069504903,0.000382204028557391
2020-03-18,75,0.110959607729696,0.00457540725621782,0.195283395960037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7246056.11666639,1123.49958578998,2383.42532830731,3199.0575464269,NA,NA,NA,3108.92762952072,353.260577287738,NA,92.8493544802251,11.7281327958842,1301263559,0.776008736358405,0.87,0.999087804801913,0.000489083032338662,0.000428659622649301
